Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.12,108.56,0.5,148.10,36.0,36.0,89.2
1192887,0.76,140.23,2.5,22.80,18.0,18.2,82.2
1385774,0.70,134.60,2.4,24.70,20.9,21.0,83.5
1578661,0.70,128.97,2.5,24.70,23.8,23.9,84.0
1771548,0.59,123.52,2.2,29.63,26.8,26.9,85.4
1964435,0.53,118.42,2.1,32.92,29.8,29.8,86.0
2157322,0.53,113.49,2.2,32.92,32.7,32.8,86.2
2350209,0.47,108.91,2.0,37.03,35.7,35.7,86.7
2543096,0.41,104.34,1.9,42.32,38.8,38.8,87.2
2735983,0.35,100.29,1.7,49.37,41.7,41.7,87.6
2928870,0.29,96.25,1.5,59.24,44.8,44.8,88.1
3121757,0.29,92.38,1.6,59.24,47.9,48.0,88.1
3314644,0.29,88.86,1.7,59.24,51.0,51.0,88.1
3507531,0.23,85.34,1.5,74.05,54.2,54.2,88.4
3700418,0.23,82.17,1.6,74.05,57.3,57.3,88.4
3893305,0.23,79.18,1.7,74.05,60.4,60.5,88.4
4086192,0.18,76.19,1.3,98.73,63.8,63.8,88.8
4279079,0.18,73.55,1.4,98.73,66.9,66.9,88.8
4471966,0.18,70.91,1.5,98.73,70.2,70.2,88.8
4664853,0.18,68.45,1.6,98.73,73.5,73.5,88.8
4857740,0.12,66.16,1.1,148.10,76.7,76.8,89.2
5050627,0.12,63.87,1.2,148.10,80.2,80.2,89.1
5243514,0.12,61.76,1.3,148.10,83.6,83.6,89.1
5436401,0.12,59.65,1.4,148.10,87.2,87.2,89.1
5629288,0.06,57.71,0.7,296.19,90.7,90.7,89.5
5822175,0.06,55.95,0.8,296.19,94.1,94.1,89.5
6015062,0.06,54.19,0.8,296.19,97.7,97.7,89.5
6207949,0.06,52.43,0.9,296.19,101.5,101.5,89.5
6400836,0.06,50.85,0.9,296.19,105.2,105.2,89.5
6593723,-0.00,49.27,0.0,?,109.0,109.0,90.0
6786610,-0.00,47.86,0.0,?,112.7,112.7,90.0
6979497,-0.00,46.45,0.0,?,116.5,116.5,90.0
7172384,-0.00,45.04,0.0,?,120.6,120.6,90.0
7365271,-0.00,43.81,0.0,?,124.3,124.3,90.0
7558158,-0.06,42.58,1.3,296.19,128.3,128.3,89.4
7751045,-0.06,41.35,1.4,296.19,132.5,132.5,89.4
7943932,-0.06,40.12,1.4,296.19,136.9,136.9,89.4
8136819,-0.06,39.06,1.5,296.19,140.9,140.9,89.4
8329706,-0.06,38.01,1.6,296.19,145.2,145.2,89.4
8522593,-0.06,36.95,1.7,296.19,149.6,149.6,89.4
8715480,-0.06,36.07,1.8,296.19,153.5,153.6,89.3
8908367,-0.06,35.01,1.9,296.19,158.5,158.5,89.3
9101254,-0.06,34.13,2.0,296.19,162.8,162.8,89.3
9294141,-0.06,33.26,2.1,296.19,167.4,167.4,89.3
9487028,-0.06,32.38,2.2,296.19,172.2,172.2,89.3
9679915,-0.06,31.50,2.3,296.19,177.3,177.3,89.3
9872802,-0.06,30.79,2.4,296.19,181.5,181.6,89.2
10065689,-0.00,30.09,0.0,?,186.0,186.0,90.0
10258576,-0.00,29.21,0.0,?,191.9,191.9,90.0
10451463,-0.00,28.50,0.0,?,196.8,196.8,90.0
10644350,-0.00,27.80,0.0,?,202.0,202.0,90.0
10837237,-0.00,27.10,0.0,?,207.5,207.5,90.0
11030124,-0.00,26.57,0.0,?,211.8,211.8,90.0
11223011,-0.00,25.87,0.0,?,217.7,217.7,90.0
11415898,-0.00,25.16,0.0,?,224.0,224.0,90.0
11608785,-0.00,24.63,0.0,?,229.0,229.0,90.0
11801672,-0.00,23.93,0.0,?,235.9,235.9,90.0
11994559,-0.00,23.40,0.0,?,241.4,241.4,90.0
12187446,-0.00,22.87,0.0,?,247.1,247.1,90.0
12380333,-0.00,22.17,0.0,?,255.2,255.2,90.0
12573220,-0.00,21.82,0.0,?,259.4,259.4,90.0
12766107,-0.00,21.29,0.0,?,266.0,266.0,90.0
12958994,-0.00,20.76,0.0,?,272.9,272.9,90.0
13151881,-0.00,20.23,0.0,?,280.2,280.2,90.0
13344768,-0.00,19.71,0.0,?,287.9,287.9,90.0
13537655,-0.00,19.18,0.0,?,295.9,295.9,90.0
13730542,-0.00,18.65,0.0,?,304.5,304.5,90.0
13923429,-0.00,18.30,0.0,?,310.4,310.4,90.0
14116316,-0.00,17.77,0.0,?,319.8,319.8,90.0
14309203,-0.00,17.24,0.0,?,329.8,329.8,90.0
14502090,-0.00,16.89,0.0,?,336.7,336.7,90.0
14694977,-0.00,16.54,0.0,?,344.0,344.0,90.0
14887864,0.06,16.01,8.7,296.19,355.3,355.4,88.6
15080751,-0.00,15.66,0.0,?,363.6,363.6,90.0
15273638,-0.00,15.13,0.0,?,376.4,376.4,90.0
15466525,-0.00,14.78,0.0,?,385.5,385.5,90.0
15659412,-0.00,14.43,0.0,?,395.0,395.0,90.0
15852299,-0.00,14.08,0.0,?,405.0,405.0,90.0
