Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
9827000,-2.05,61.58,21.6,8.50,79.6,82.5,74.8
9827003,0.06,12.84,13.5,296.19,443.8,444.0,88.3
9827006,-0.00,13.20,0.0,?,432.3,432.3,90.0
9827009,-0.06,12.84,13.5,296.19,443.8,444.0,88.3
9827012,-0.00,12.84,0.0,?,444.2,444.2,90.0
9827015,-0.00,12.84,0.0,?,444.2,444.2,90.0
9827018,-0.00,12.84,0.0,?,444.2,444.2,90.0
9827021,-0.00,13.02,0.0,?,438.1,438.1,90.0
9827024,-0.06,13.02,13.1,296.19,437.8,438.0,88.3
9827027,-0.00,13.02,0.0,?,438.1,438.1,90.0
9827030,-0.06,13.02,13.1,296.19,437.8,438.0,88.3
9827033,-0.06,13.02,13.1,296.19,437.8,438.0,88.3
9827036,-0.00,13.02,0.0,?,438.1,438.1,90.0
9827039,-0.06,13.20,12.8,296.19,431.9,432.1,88.3
9827042,-0.06,13.20,12.8,296.19,431.9,432.1,88.3
9827045,-0.06,13.20,12.8,296.19,431.9,432.1,88.3
9827048,-0.06,13.20,12.8,296.19,431.9,432.1,88.3
9827051,-0.00,13.20,0.0,?,432.3,432.3,90.0
9827054,-0.06,13.37,12.4,296.19,426.2,426.3,88.3
9827057,-0.06,13.37,12.4,296.19,426.2,426.3,88.3
9827060,-0.00,13.37,0.0,?,426.5,426.5,90.0
9827063,-0.06,13.37,12.4,296.19,426.2,426.3,88.3
9827066,-0.06,13.55,12.1,296.19,420.6,420.8,88.3
9827069,-0.06,13.55,12.1,296.19,420.6,420.8,88.3
9827072,-0.00,13.55,0.0,?,420.9,420.9,90.0
9827075,-0.06,13.55,12.1,296.19,420.6,420.8,88.3
9827078,-0.06,13.55,12.1,296.19,420.6,420.8,88.3
9827081,-0.06,13.55,12.1,296.19,420.6,420.8,88.3
9827084,-0.00,13.72,0.0,?,415.5,415.5,90.0
9827087,-0.06,13.72,11.8,296.19,415.1,415.3,88.4
9827090,-0.06,13.72,11.8,296.19,415.1,415.3,88.4
9827093,-0.06,13.72,11.8,296.19,415.1,415.3,88.4
9827096,-0.06,13.90,11.5,296.19,409.8,410.0,88.4
9827099,-0.06,13.90,11.5,296.19,409.8,410.0,88.4
