Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
100000,1.76,120.70,6.7,9.91,28.1,28.9,76.7
132219,1.82,179.82,5.2,9.59,0.1,5.2,0.8
164438,1.70,180.00,4.9,10.25,0.0,4.9,0.0
196657,1.64,180.00,4.7,10.61,0.0,4.7,0.0
228876,1.58,180.00,4.5,11.00,0.0,4.5,0.0
261095,1.58,180.00,4.5,11.00,0.0,4.5,0.0
293314,1.52,180.00,4.4,11.42,0.0,4.4,0.0
325533,1.41,180.00,4.0,12.37,0.0,4.0,0.0
357752,1.41,180.00,4.0,12.37,0.0,4.0,0.0
389971,1.35,180.00,3.9,12.90,0.0,3.9,0.0
422190,1.35,179.82,3.9,12.90,0.1,3.9,1.1
454409,1.35,179.65,3.9,12.90,0.2,3.9,2.3
486628,1.35,179.47,3.9,12.90,0.2,3.9,3.4
518847,1.29,179.30,3.7,13.49,0.3,3.7,4.7
551066,1.29,179.12,3.7,13.49,0.4,3.7,5.9
583285,1.29,178.94,3.7,13.49,0.5,3.7,7.0
615504,1.29,178.77,3.7,13.49,0.5,3.7,8.2
647723,1.29,178.59,3.7,13.49,0.6,3.8,9.4
679942,1.23,178.42,3.5,14.13,0.7,3.6,11.0
712161,1.23,178.24,3.5,14.13,0.8,3.6,12.2
744380,1.17,178.06,3.4,14.83,0.8,3.5,14.0
776599,1.23,177.89,3.5,14.13,0.9,3.7,14.5
808818,1.17,177.71,3.4,14.83,1.0,3.5,16.4
841037,1.17,177.54,3.4,14.83,1.1,3.5,17.6
873256,1.11,177.36,3.2,15.61,1.1,3.4,19.7
905475,1.11,177.01,3.2,15.61,1.3,3.5,22.1
937694,1.11,176.83,3.2,15.61,1.4,3.5,23.2
969913,1.11,176.66,3.2,15.61,1.5,3.5,24.4
1002132,1.11,176.48,3.2,15.61,1.5,3.6,25.5
1034351,1.11,176.30,3.2,15.61,1.6,3.6,26.6
1066570,1.11,176.13,3.2,15.61,1.7,3.6,27.7
1098789,1.11,175.78,3.2,15.61,1.8,3.7,29.8
1131008,1.11,175.60,3.2,15.61,1.9,3.7,30.8
1163227,1.06,175.43,3.0,16.48,2.0,3.6,33.2
1195446,1.06,175.25,3.0,16.48,2.1,3.7,34.2
1227665,1.06,175.07,3.0,16.48,2.1,3.7,35.2
1259884,1.06,174.90,3.0,16.48,2.2,3.8,36.1
1292103,1.06,174.55,3.0,16.48,2.4,3.9,38.0
1324322,1.06,174.37,3.0,16.48,2.4,3.9,38.8
1356541,1.06,174.19,3.0,16.48,2.5,4.0,39.7
1388760,1.06,174.02,3.0,16.48,2.6,4.0,40.5
1420979,1.00,173.84,2.9,17.44,2.7,3.9,43.0
1453198,1.00,173.49,2.9,17.44,2.8,4.0,44.6
1485417,1.00,173.31,2.9,17.44,2.9,4.1,45.3
1517636,1.00,173.14,2.9,17.44,3.0,4.1,46.1
1549855,1.00,172.96,2.9,17.44,3.1,4.2,46.8
1582074,1.00,172.79,2.9,17.44,3.1,4.3,47.5
1614293,1.00,172.43,2.9,17.44,3.3,4.4,48.9
1646512,0.94,172.26,2.7,18.53,3.4,4.3,51.2
1678731,0.94,172.08,2.7,18.53,3.5,4.4,51.8
1710950,0.94,171.91,2.7,18.53,3.5,4.4,52.4
1743169,0.94,171.73,2.7,18.53,3.6,4.5,53.0
1775388,0.94,171.55,2.7,18.53,3.7,4.6,53.6
1807607,0.94,171.20,2.7,18.53,3.8,4.7,54.7
1839826,0.94,171.03,2.7,18.53,3.9,4.8,55.2
1872045,0.94,170.85,2.7,18.53,4.0,4.8,55.8
1904264,0.94,170.67,2.7,18.53,4.1,4.9,56.3
1936483,0.94,170.50,2.7,18.53,4.1,5.0,56.7
1968702,0.94,170.15,2.7,18.53,4.3,5.1,57.7
2000921,0.94,169.97,2.7,18.53,4.4,5.2,58.1
2033140,0.94,169.79,2.7,18.53,4.5,5.2,58.6
