Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.94,58.06,11.3,18.53,89.0,89.7,82.7
1192887,0.06,4.75,97.6,296.19,1197.4,1201.4,85.3
1385774,0.06,6.51,52.2,296.19,876.0,877.6,86.6
1578661,0.12,8.45,61.7,148.10,671.5,674.4,84.7
1771548,0.06,10.38,20.6,296.19,549.6,550.0,87.9
1964435,0.06,12.32,14.7,296.19,462.9,463.2,88.2
2157322,0.12,14.25,21.9,148.10,398.8,399.4,86.9
2350209,0.12,16.36,16.6,148.10,347.0,347.4,87.3
2543096,0.12,18.30,13.3,148.10,309.9,310.2,87.5
2735983,0.06,20.41,5.4,296.19,277.6,277.7,88.9
2928870,0.06,22.35,4.5,296.19,253.1,253.1,89.0
3121757,0.06,24.28,3.8,296.19,232.4,232.4,89.1
3314644,0.12,26.22,6.6,148.10,214.5,214.6,88.2
3507531,0.12,28.15,5.7,148.10,199.3,199.3,88.4
3700418,0.12,30.09,5.0,148.10,185.9,186.0,88.5
3893305,0.12,32.02,4.4,148.10,174.1,174.2,88.5
4086192,0.12,34.13,3.9,148.10,162.8,162.8,88.6
4279079,0.12,36.07,3.5,148.10,153.5,153.5,88.7
4471966,0.12,38.01,3.2,148.10,145.1,145.2,88.7
4664853,0.12,39.94,2.9,148.10,137.5,137.6,88.8
4857740,0.18,41.88,4.0,98.73,130.6,130.6,88.3
5050627,0.18,43.81,3.6,98.73,124.2,124.3,88.3
5243514,0.18,45.75,3.3,98.73,118.4,118.5,88.4
5436401,0.18,47.86,3.1,98.73,112.6,112.6,88.4
5629288,0.18,49.79,2.9,98.73,107.7,107.7,88.5
5822175,0.18,51.73,2.7,98.73,103.1,103.1,88.5
6015062,0.23,53.67,3.3,74.05,98.8,98.8,88.1
6207949,0.23,55.60,3.1,74.05,94.8,94.8,88.1
6400836,0.23,57.71,2.9,74.05,90.7,90.7,88.2
6593723,0.23,59.65,2.7,74.05,87.2,87.2,88.2
6786610,0.23,61.58,2.6,74.05,83.8,83.9,88.2
6979497,0.23,63.52,2.4,74.05,80.7,80.8,88.3
7172384,0.29,65.63,2.9,59.24,77.5,77.5,87.9
7365271,0.29,67.57,2.7,59.24,74.7,74.7,87.9
7558158,0.29,69.50,2.6,59.24,72.0,72.1,87.9
7751045,0.29,71.44,2.5,59.24,69.5,69.5,88.0
7943932,0.29,73.55,2.4,59.24,66.8,66.9,88.0
8136819,0.35,75.48,2.7,49.37,64.5,64.6,87.6
8329706,0.35,77.42,2.6,49.37,62.3,62.4,87.6
8522593,0.35,79.53,2.5,49.37,60.0,60.1,87.6
8715480,0.35,81.47,2.4,49.37,58.0,58.1,87.7
8908367,0.41,83.58,2.7,42.32,55.9,55.9,87.3
9101254,0.41,85.51,2.6,42.32,54.0,54.1,87.3
9294141,0.41,87.62,2.5,42.32,52.1,52.1,87.3
9487028,0.41,89.56,2.4,42.32,50.3,50.4,87.3
9679915,0.47,91.67,2.6,37.03,48.5,48.6,86.9
9872802,0.47,93.61,2.5,37.03,46.9,47.0,86.9
10065689,0.53,95.72,2.8,32.92,45.2,45.3,86.5
10258576,0.53,97.83,2.7,32.92,43.5,43.6,86.5
10451463,0.59,99.77,2.9,29.63,42.0,42.1,86.1
10644350,0.59,101.88,2.8,29.63,40.5,40.6,86.0
10837237,0.59,103.81,2.7,29.63,39.1,39.2,86.0
11030124,0.59,105.92,2.6,29.63,37.7,37.8,86.0
11223011,0.59,108.04,2.6,29.63,36.2,36.3,85.9
11415898,0.65,109.97,2.8,26.94,35.0,35.1,85.5
11608785,0.65,112.08,2.7,26.94,33.6,33.7,85.4
11801672,0.65,114.19,2.6,26.94,32.3,32.4,85.3
11994559,0.65,116.13,2.6,26.94,31.1,31.2,85.3
12187446,0.70,118.24,2.7,24.70,29.8,30.0,84.7
12380333,0.70,120.35,2.7,24.70,28.6,28.7,84.6
12573220,0.70,122.46,2.6,24.70,27.4,27.5,84.5
12766107,0.70,124.40,2.6,24.70,26.3,26.4,84.4
12958994,0.70,126.51,2.5,24.70,25.1,25.3,84.2
13151881,0.76,128.62,2.7,22.80,24.0,24.1,83.6
13344768,0.76,130.73,2.7,22.80,22.9,23.0,83.4
13537655,0.76,132.84,2.6,22.80,21.8,21.9,83.2
13730542,0.76,134.96,2.6,22.80,20.7,20.8,82.9
13923429,0.76,137.07,2.5,22.80,19.6,19.8,82.6
14116316,0.76,139.18,2.5,22.80,18.6,18.7,82.3
14309203,0.82,141.29,2.7,21.17,17.5,17.7,81.4
14502090,0.82,143.40,2.6,21.17,16.5,16.7,81.0
14694977,0.82,145.51,2.6,21.17,15.5,15.7,80.5
14887864,0.88,147.62,2.7,19.76,14.5,14.7,79.3
15080751,0.88,149.74,2.7,19.76,13.5,13.8,78.6
15273638,0.88,151.85,2.7,19.76,12.5,12.8,77.9
15466525,0.88,154.13,2.7,19.76,11.5,11.8,76.9
15659412,0.88,156.25,2.6,19.76,10.5,10.8,75.9
15852299,0.88,158.36,2.6,19.76,9.5,9.9,74.6
16045186,0.88,160.47,2.6,19.76,8.6,9.0,73.1
16238073,0.88,162.76,2.6,19.76,7.6,8.0,71.1
16430960,0.88,164.87,2.6,19.76,6.6,7.1,68.8
16623847,0.88,166.98,2.6,19.76,5.7,6.2,65.8
16816734,0.88,169.09,2.6,19.76,4.8,5.4,61.8
17009621,0.88,171.03,2.5,19.76,3.9,4.7,57.0
17202508,0.94,173.31,2.7,18.53,2.9,4.0,47.1
17395395,0.88,175.60,2.5,19.76,1.9,3.2,37.1
17588282,0.88,177.89,2.5,19.76,0.9,2.7,20.0
17781169,0.88,179.82,2.5,19.76,0.1,2.5,1.7
17974056,0.88,180.00,2.5,19.76,0.0,2.5,0.0
18166943,0.88,180.00,2.5,19.76,0.0,2.5,0.0
18359830,0.88,180.00,2.5,19.76,0.0,2.5,0.0
18552717,0.82,180.00,2.4,21.17,0.0,2.4,0.0
18745604,0.82,178.42,2.4,21.17,0.7,2.5,16.3
18938491,0.82,176.13,2.4,21.17,1.7,2.9,35.5
19131378,0.82,174.19,2.4,21.17,2.5,3.5,46.9
19324265,0.82,172.08,2.4,21.17,3.5,4.2,55.5
19517152,0.82,169.97,2.4,21.17,4.4,5.0,61.5
19710039,0.82,167.68,2.4,21.17,5.4,5.9,66.1
19902926,0.76,165.57,2.2,22.80,6.3,6.7,70.6
20095813,0.76,163.46,2.2,22.80,7.3,7.6,72.8
20288700,0.76,161.35,2.3,22.80,8.2,8.5,74.6
20481587,0.76,159.24,2.3,22.80,9.1,9.4,76.1
20674474,0.76,157.13,2.3,22.80,10.1,10.3,77.3
20867361,0.76,155.01,2.3,22.80,11.1,11.3,78.2
21060248,0.76,152.90,2.3,22.80,12.0,12.2,79.1
21253135,0.76,150.79,2.3,22.80,13.0,13.2,79.8
21446022,0.76,148.68,2.4,22.80,14.0,14.2,80.4
21638909,0.70,146.57,2.2,24.70,15.0,15.2,81.6
21831796,0.70,144.46,2.2,24.70,16.0,16.2,82.1
22024683,0.70,142.35,2.3,24.70,17.0,17.2,82.4
22217570,0.70,140.23,2.3,24.70,18.0,18.2,82.8
22410457,0.65,138.12,2.1,26.94,19.1,19.2,83.6
22603344,0.65,136.01,2.2,26.94,20.2,20.3,83.9
22796231,0.65,133.90,2.2,26.94,21.2,21.4,84.1
22989118,0.65,131.96,2.2,26.94,22.2,22.4,84.3
23182005,0.59,129.85,2.1,29.63,23.4,23.5,85.0
23374892,0.59,127.74,2.1,29.63,24.5,24.6,85.1
23567779,0.59,125.63,2.1,29.63,25.6,25.7,85.2
23760666,0.53,123.70,2.0,32.92,26.7,26.8,85.8
23953553,0.53,121.58,2.0,32.92,27.9,28.0,85.9
24146440,0.53,119.47,2.0,32.92,29.1,29.2,86.0
24339327,0.47,117.54,1.8,37.03,30.3,30.3,86.5
24532214,0.47,115.43,1.9,37.03,31.6,31.6,86.6
24725101,0.47,113.49,1.9,37.03,32.8,32.8,86.6
24917988,0.41,111.38,1.7,42.32,34.1,34.1,87.1
