Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.06,116.83,4.2,16.48,30.6,30.9,82.2
1042025,-0.12,174.55,0.3,148.10,2.4,2.4,81.9
1084050,-0.12,174.37,0.3,148.10,2.5,2.5,82.2
1126075,-0.12,174.02,0.3,148.10,2.6,2.6,82.6
1168100,-0.18,173.67,0.5,98.73,2.8,2.8,79.6
1210125,-0.23,173.31,0.7,74.05,2.9,3.0,76.9
1252150,-0.23,172.96,0.7,74.05,3.1,3.1,77.6
1294175,-0.23,172.61,0.7,74.05,3.2,3.3,78.1
1336200,-0.23,172.26,0.7,74.05,3.4,3.4,78.7
1378225,-0.23,171.91,0.7,74.05,3.5,3.6,79.1
1420250,-0.23,171.55,0.7,74.05,3.7,3.8,79.6
1462275,-0.23,171.20,0.7,74.05,3.8,3.9,80.0
1504300,-0.29,170.85,0.8,59.24,4.0,4.1,78.0
1546325,-0.29,170.50,0.8,59.24,4.2,4.2,78.4
1588350,-0.29,170.15,0.9,59.24,4.3,4.4,78.8
1630375,-0.35,169.79,1.0,49.37,4.5,4.6,77.1
1672400,-0.35,169.44,1.0,49.37,4.6,4.7,77.5
1714425,-0.41,169.09,1.2,42.32,4.8,4.9,76.0
1756450,-0.41,168.74,1.2,42.32,4.9,5.1,76.4
1798475,-0.41,168.39,1.2,42.32,5.1,5.2,76.8
1840500,-0.41,168.04,1.2,42.32,5.2,5.4,77.2
1882525,-0.41,167.68,1.2,42.32,5.4,5.5,77.5
1924550,-0.47,167.33,1.4,37.03,5.5,5.7,76.2
1966575,-0.47,166.98,1.4,37.03,5.7,5.9,76.5
2008600,-0.47,166.63,1.4,37.03,5.9,6.0,76.8
2050625,-0.47,166.28,1.4,37.03,6.0,6.2,77.2
2092650,-0.47,165.92,1.4,37.03,6.2,6.3,77.5
2134675,-0.53,165.57,1.5,32.92,6.3,6.5,76.3
2176700,-0.53,165.22,1.5,32.92,6.5,6.7,76.6
2218725,-0.53,164.87,1.5,32.92,6.6,6.8,76.9
2260750,-0.53,164.52,1.5,32.92,6.8,7.0,77.2
2302775,-0.59,164.16,1.7,29.63,6.9,7.2,76.1
2344800,-0.59,163.81,1.7,29.63,7.1,7.3,76.4
2386825,-0.59,163.46,1.7,29.63,7.3,7.5,76.6
2428850,-0.59,163.11,1.7,29.63,7.4,7.6,76.9
2470875,-0.65,162.76,1.9,26.94,7.6,7.8,75.9
2512900,-0.65,162.40,1.9,26.94,7.7,8.0,76.2
2554925,-0.65,162.05,1.9,26.94,7.9,8.1,76.4
2596950,-0.65,161.70,1.9,26.94,8.0,8.3,76.7
2638975,-0.70,161.35,2.1,24.70,8.2,8.5,75.8
2681000,-0.76,161.00,2.3,22.80,8.4,8.7,74.9
2723025,-0.76,160.65,2.3,22.80,8.5,8.8,75.1
2765050,-0.82,160.29,2.4,21.17,8.7,9.0,74.3
2807075,-0.82,159.94,2.4,21.17,8.8,9.2,74.6
2849100,-0.82,159.59,2.4,21.17,9.0,9.3,74.8
2891125,-0.82,159.24,2.4,21.17,9.1,9.5,75.0
2933150,-0.88,158.89,2.6,19.76,9.3,9.7,74.3
2975175,-0.88,158.53,2.6,19.76,9.5,9.8,74.5
3017200,-0.88,158.18,2.6,19.76,9.6,10.0,74.7
3059225,-0.94,157.83,2.8,18.53,9.8,10.2,74.0
3101250,-0.94,157.48,2.8,18.53,9.9,10.3,74.2
3143275,-0.94,157.13,2.8,18.53,10.1,10.5,74.4
3185300,-0.94,156.77,2.8,18.53,10.2,10.6,74.7
3227325,-1.00,156.42,3.0,17.44,10.4,10.8,74.0
3269350,-1.00,156.07,3.0,17.44,10.6,11.0,74.2
3311375,-1.00,155.72,3.0,17.44,10.7,11.1,74.4
3353400,-1.06,155.37,3.2,16.48,10.9,11.3,73.7
3395425,-1.06,155.01,3.2,16.48,11.0,11.5,73.9
3437450,-1.06,154.66,3.2,16.48,11.2,11.6,74.1
3479475,-1.11,154.31,3.4,15.61,11.4,11.8,73.5
3521500,-1.11,153.96,3.4,15.61,11.5,12.0,73.7
3563525,-1.17,153.61,3.6,14.83,11.7,12.2,73.1
3605550,-1.17,153.26,3.6,14.83,11.8,12.4,73.2
3647575,-1.17,152.90,3.6,14.83,12.0,12.5,73.4
3689600,-1.23,152.55,3.7,14.13,12.1,12.7,72.8
3731625,-1.23,152.20,3.8,14.13,12.3,12.9,73.0
3773650,-1.23,151.85,3.8,14.13,12.5,13.0,73.2
3815675,-1.29,151.50,3.9,13.49,12.6,13.2,72.6
3857700,-1.29,151.14,4.0,13.49,12.8,13.4,72.8
3899725,-1.35,150.79,4.1,12.90,12.9,13.6,72.3
3941750,-1.35,150.44,4.1,12.90,13.1,13.7,72.5
3983775,-1.35,150.09,4.1,12.90,13.3,13.9,72.6
4025800,-1.41,149.74,4.3,12.37,13.4,14.1,72.1
4067825,-1.41,149.56,4.3,12.37,13.5,14.2,72.2
4109850,-1.47,149.03,4.5,11.88,13.7,14.5,71.8
4151875,-1.47,148.68,4.5,11.88,13.9,14.6,71.9
4193900,-1.52,148.33,4.7,11.42,14.1,14.8,71.4
4235925,-1.52,147.98,4.7,11.42,14.2,15.0,71.6
4277950,-1.52,147.80,4.7,11.42,14.3,15.1,71.7
4319975,-1.58,147.45,4.9,11.00,14.5,15.3,71.2
4362000,-1.58,146.92,4.9,11.00,14.7,15.5,71.4
4404025,-1.64,146.57,5.1,10.61,14.9,15.7,71.0
4446050,-1.64,146.22,5.1,10.61,15.0,15.9,71.1
4488075,-1.70,146.04,5.3,10.25,15.1,16.0,70.6
4530100,-1.70,145.69,5.3,10.25,15.3,16.2,70.7
4572125,-1.76,145.34,5.5,9.91,15.4,16.4,70.3
4614150,-1.76,144.99,5.5,9.91,15.6,16.6,70.4
4656175,-1.82,144.63,5.7,9.59,15.8,16.8,70.0
4698200,-1.82,144.11,5.8,9.59,16.0,17.0,70.2
4740225,-1.82,143.93,5.8,9.59,16.1,17.1,70.3
4782250,-1.88,143.58,6.0,9.29,16.2,17.3,69.9
4824275,-1.94,143.23,6.2,9.01,16.4,17.5,69.4
4866300,-1.94,142.87,6.2,9.01,16.6,17.7,69.6
4908325,-1.99,142.52,6.4,8.75,16.7,17.9,69.2
4950350,-1.99,142.17,6.4,8.75,16.9,18.0,69.3
4992375,-2.05,141.82,6.6,8.50,17.0,18.3,68.9
5034400,-2.05,141.47,6.6,8.50,17.2,18.4,69.0
5076425,-2.11,141.11,6.8,8.27,17.4,18.6,68.6
5118450,-2.11,140.76,6.8,8.27,17.5,18.8,68.8
5160475,-2.17,140.41,7.0,8.05,17.7,19.0,68.4
5202500,-2.17,140.06,7.0,8.05,17.9,19.2,68.5
5244525,-2.23,139.71,7.2,7.84,18.0,19.4,68.1
5286550,-2.29,139.35,7.4,7.64,18.2,19.6,67.8
5328575,-2.29,139.00,7.4,7.64,18.3,19.8,67.9
5370600,-2.35,138.65,7.6,7.45,18.5,20.0,67.5
5412625,-2.35,138.48,7.7,7.45,18.6,20.1,67.6
5454650,-2.40,138.12,7.9,7.27,18.7,20.3,67.2
5496675,-2.40,137.77,7.9,7.27,18.9,20.5,67.4
5538700,-2.46,137.42,8.1,7.10,19.0,20.7,67.0
5580725,-2.52,137.07,8.3,6.94,19.2,20.9,66.6
5622750,-2.52,136.72,8.3,6.94,19.4,21.1,66.8
5664775,-2.58,136.36,8.5,6.78,19.5,21.3,66.4
5706800,-2.64,136.01,8.7,6.63,19.7,21.5,66.0
5748825,-2.64,135.66,8.8,6.63,19.8,21.7,66.2
5790850,-2.70,135.31,9.0,6.49,20.0,21.9,65.8
5832875,-2.76,134.96,9.2,6.35,20.1,22.1,65.5
5874900,-2.76,134.60,9.2,6.35,20.3,22.3,65.6
5916925,-2.82,134.43,9.4,6.22,20.4,22.4,65.2
5958950,-2.87,134.08,9.6,6.10,20.5,22.7,64.9
6000975,-2.87,133.72,9.6,6.10,20.7,22.8,65.0
6043000,-2.93,133.37,9.9,5.98,20.8,23.1,64.7
6085025,-2.99,133.02,10.1,5.86,21.0,23.3,64.3
6127050,-2.99,132.67,10.1,5.86,21.2,23.4,64.5
6169075,-3.05,132.32,10.3,5.75,21.3,23.7,64.1
6211100,-3.11,131.96,10.5,5.65,21.4,23.9,63.8
6253125,-3.11,131.61,10.6,5.65,21.6,24.1,63.9
6295150,-3.17,131.44,10.8,5.55,21.7,24.2,63.6
6337175,-3.23,131.09,11.0,5.45,21.8,24.4,63.2
6379200,-3.28,130.73,11.2,5.35,22.0,24.7,62.9
6421225,-3.28,130.38,11.3,5.35,22.1,24.8,63.1
6463250,-3.34,130.03,11.5,5.26,22.3,25.1,62.7
6505275,-3.40,129.68,11.7,5.17,22.4,25.3,62.4
6547300,-3.46,129.50,11.9,5.09,22.5,25.4,62.1
6589325,-3.52,129.15,12.1,5.00,22.6,25.7,61.8
6631350,-3.52,128.80,12.2,5.00,22.8,25.8,61.9
6673375,-3.58,128.45,12.4,4.92,22.9,26.1,61.6
6715400,-3.64,128.09,12.6,4.85,23.1,26.3,61.3
6757425,-3.70,127.92,12.8,4.77,23.1,26.4,60.9
6799450,-3.75,127.57,13.1,4.70,23.3,26.7,60.6
6841475,-3.75,127.21,13.1,4.70,23.4,26.8,60.8
6883500,-3.81,126.86,13.3,4.63,23.6,27.1,60.5
6925525,-3.87,126.69,13.6,4.56,23.6,27.2,60.1
6967550,-3.93,126.33,13.8,4.50,23.7,27.5,59.8
7009575,-3.99,125.98,14.0,4.43,23.9,27.7,59.6
7051600,-4.05,125.63,14.3,4.37,24.0,27.9,59.3
7093625,-4.11,125.45,14.5,4.31,24.0,28.1,58.9
7135650,-4.11,125.10,14.5,4.31,24.2,28.2,59.1
