Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.23,118.59,0.9,74.05,29.7,29.7,88.2
1042025,1.00,171.03,2.9,17.44,3.9,4.9,53.6
1084050,1.00,170.67,2.9,17.44,4.1,5.0,54.6
1126075,0.94,170.32,2.7,18.53,4.2,5.0,57.2
1168100,0.88,169.79,2.6,19.76,4.5,5.1,60.2
1210125,0.88,169.27,2.6,19.76,4.7,5.3,61.4
1252150,0.88,168.91,2.6,19.76,4.8,5.5,62.2
1294175,0.82,168.39,2.4,21.17,5.1,5.6,64.8
1336200,0.82,167.86,2.4,21.17,5.3,5.8,65.8
1378225,0.82,167.51,2.4,21.17,5.5,6.0,66.4
1420250,0.82,166.98,2.4,21.17,5.7,6.2,67.2
1462275,0.76,166.45,2.2,22.80,5.9,6.3,69.4
1504300,0.76,166.10,2.2,22.80,6.1,6.5,69.9
1546325,0.76,165.57,2.2,22.80,6.3,6.7,70.6
1588350,0.76,165.22,2.2,22.80,6.5,6.8,71.0
1630375,0.70,164.69,2.1,24.70,6.7,7.0,72.9
1672400,0.65,164.16,1.9,26.94,6.9,7.2,74.8
1714425,0.65,163.81,1.9,26.94,7.1,7.3,75.1
1756450,0.65,163.28,1.9,26.94,7.3,7.6,75.5
1798475,0.59,162.76,1.7,29.63,7.6,7.8,77.2
1840500,0.59,162.40,1.7,29.63,7.7,7.9,77.4
1882525,0.59,161.88,1.7,29.63,8.0,8.2,77.7
1924550,0.53,161.35,1.6,32.92,8.2,8.3,79.2
1966575,0.53,161.00,1.6,32.92,8.4,8.5,79.4
2008600,0.53,160.47,1.6,32.92,8.6,8.7,79.7
2050625,0.47,159.94,1.4,37.03,8.8,8.9,81.0
2092650,0.47,159.59,1.4,37.03,9.0,9.1,81.2
2134675,0.47,159.06,1.4,37.03,9.2,9.3,81.4
2176700,0.41,158.71,1.2,42.32,9.4,9.5,82.6
2218725,0.41,158.18,1.2,42.32,9.6,9.7,82.7
2260750,0.41,157.65,1.2,42.32,9.9,9.9,82.9
2302775,0.35,157.30,1.1,49.37,10.0,10.1,84.0
2344800,0.35,156.77,1.1,49.37,10.3,10.3,84.1
2386825,0.35,156.25,1.1,49.37,10.5,10.6,84.3
