Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.00,63.70,10.2,17.44,79.6,80.2,82.7
1192887,-0.00,2.46,0.0,?,2325.6,2325.6,90.0
1385774,0.06,2.99,243.7,296.19,1883.5,1899.2,82.6
1578661,0.06,4.22,123.3,296.19,1344.9,1350.5,84.8
1771548,0.06,5.45,74.2,296.19,1044.4,1047.0,85.9
1964435,0.06,6.86,47.0,296.19,831.3,832.6,86.8
2157322,0.06,8.27,32.4,296.19,690.1,690.9,87.3
2350209,0.06,9.68,23.7,296.19,589.7,590.2,87.7
2543096,0.06,11.09,18.1,296.19,514.6,514.9,88.0
2735983,-0.00,12.49,0.0,?,456.8,456.8,90.0
2928870,0.06,13.90,11.5,296.19,409.8,410.0,88.4
3121757,0.06,15.31,9.5,296.19,371.8,371.9,88.5
3314644,0.06,16.72,8.0,296.19,340.2,340.2,88.7
3507531,0.06,18.12,6.8,296.19,313.4,313.4,88.8
3700418,0.06,19.53,5.9,296.19,290.4,290.5,88.8
3893305,0.06,20.94,5.1,296.19,270.5,270.5,88.9
4086192,0.06,22.35,4.5,296.19,253.1,253.1,89.0
4279079,0.06,23.58,4.0,296.19,239.5,239.5,89.0
4471966,0.06,24.99,3.6,296.19,225.6,225.6,89.1
4664853,0.06,26.39,3.2,296.19,213.2,213.2,89.1
4857740,0.06,27.80,2.9,296.19,202.0,202.0,89.2
5050627,0.06,29.21,2.7,296.19,191.9,191.9,89.2
5243514,0.06,30.62,2.4,296.19,182.6,182.7,89.2
5436401,0.06,32.02,2.2,296.19,174.2,174.2,89.3
5629288,0.06,33.43,2.0,296.19,166.5,166.5,89.3
5822175,0.06,34.84,1.9,296.19,159.3,159.4,89.3
6015062,0.12,36.25,3.5,148.10,152.7,152.7,88.7
6207949,0.12,37.48,3.3,148.10,147.3,147.4,88.7
6400836,0.12,39.06,3.0,148.10,140.9,140.9,88.8
6593723,0.12,40.29,2.8,148.10,136.2,136.3,88.8
6786610,0.12,41.70,2.7,148.10,131.2,131.3,88.8
6979497,0.12,43.11,2.5,148.10,126.5,126.6,88.9
7172384,0.12,44.52,2.4,148.10,122.1,122.2,88.9
7365271,0.12,45.92,2.2,148.10,118.0,118.0,88.9
7558158,0.12,47.33,2.1,148.10,114.1,114.1,88.9
7751045,0.12,48.74,2.0,148.10,110.4,110.4,89.0
7943932,0.12,50.32,1.9,148.10,106.4,106.4,89.0
8136819,0.18,51.73,2.7,98.73,103.1,103.1,88.5
8329706,0.18,53.14,2.5,98.73,99.9,100.0,88.5
8522593,0.18,54.55,2.4,98.73,96.9,97.0,88.6
8715480,0.18,55.95,2.3,98.73,94.1,94.1,88.6
8908367,0.18,57.36,2.2,98.73,91.4,91.4,88.6
9101254,0.18,58.77,2.1,98.73,88.8,88.8,88.6
9294141,0.18,60.18,2.0,98.73,86.3,86.3,88.7
9487028,0.18,61.58,1.9,98.73,83.9,83.9,88.7
9679915,0.23,62.99,2.5,74.05,81.6,81.6,88.3
9872802,0.23,64.57,2.4,74.05,79.1,79.1,88.3
10065689,0.29,65.98,2.8,59.24,76.9,77.0,87.9
10258576,0.29,67.39,2.7,59.24,74.9,75.0,87.9
10451463,0.29,68.80,2.6,59.24,73.0,73.0,87.9
10644350,0.29,70.38,2.5,59.24,70.8,70.9,87.9
10837237,0.29,71.79,2.5,59.24,69.0,69.1,88.0
11030124,0.35,73.20,2.8,49.37,67.3,67.3,87.6
11223011,0.35,74.78,2.7,49.37,65.3,65.4,87.6
11415898,0.35,76.19,2.7,49.37,63.7,63.8,87.6
