Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
100000,1.52,33.26,49.2,11.42,153.0,160.7,72.2
293857,0.12,1.76,1200.1,148.10,2728.4,2980.6,66.3
487714,0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
681571,0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
875428,-0.00,1.23,0.0,?,4651.7,4651.7,90.0
1069285,0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
1263142,-0.00,1.23,0.0,?,4651.7,4651.7,90.0
1456999,0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
1650856,-0.00,1.23,0.0,?,4651.7,4651.7,90.0
1844713,-0.00,1.41,0.0,?,4070.2,4070.2,90.0
2038570,-0.00,1.41,0.0,?,4070.2,4070.2,90.0
2232427,0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
2426284,0.06,1.76,683.0,296.19,3105.9,3180.1,77.6
2620141,-0.00,1.94,0.0,?,2960.0,2960.0,90.0
2813998,-0.00,2.11,0.0,?,2713.3,2713.3,90.0
3007855,-0.00,2.29,0.0,?,2504.5,2504.5,90.0
3201712,-0.00,2.64,0.0,?,2170.5,2170.5,90.0
3395569,-0.00,2.99,0.0,?,1915.0,1915.0,90.0
3589426,-0.00,3.34,0.0,?,1713.4,1713.4,90.0
3783283,-0.00,3.70,0.0,?,1550.1,1550.1,90.0
3977140,-0.00,4.05,0.0,?,1415.2,1415.2,90.0
4170997,-0.00,4.57,0.0,?,1251.8,1251.8,90.0
4364854,-0.00,4.93,0.0,?,1162.3,1162.3,90.0
4558711,-0.00,5.45,0.0,?,1049.6,1049.6,90.0
4752568,-0.00,5.81,0.0,?,985.9,985.9,90.0
4946425,-0.00,6.33,0.0,?,903.6,903.6,90.0
5140282,-0.00,6.86,0.0,?,834.0,834.0,90.0
5334139,-0.00,7.21,0.0,?,793.2,793.2,90.0
5527996,-0.00,7.74,0.0,?,738.9,738.9,90.0
5721853,-0.00,8.27,0.0,?,691.6,691.6,90.0
5915710,-0.00,8.62,0.0,?,663.3,663.3,90.0
6109567,-0.00,9.15,0.0,?,624.9,624.9,90.0
6303424,-0.00,9.68,0.0,?,590.6,590.6,90.0
6497281,-0.00,10.21,0.0,?,559.9,559.9,90.0
6691138,-0.00,10.56,0.0,?,541.2,541.2,90.0
6884995,-0.00,11.09,0.0,?,515.3,515.3,90.0
7078852,-0.00,11.61,0.0,?,491.7,491.7,90.0
7272709,-0.00,12.14,0.0,?,470.2,470.2,90.0
7466566,-0.00,12.49,0.0,?,456.8,456.8,90.0
7660423,-0.00,13.02,0.0,?,438.1,438.1,90.0
7854280,-0.00,13.55,0.0,?,420.9,420.9,90.0
8048137,-0.00,14.08,0.0,?,405.0,405.0,90.0
8241994,-0.00,14.43,0.0,?,395.0,395.0,90.0
8435851,-0.00,14.96,0.0,?,380.9,380.9,90.0
8629708,-0.00,15.48,0.0,?,367.8,367.8,90.0
8823565,-0.00,16.01,0.0,?,355.5,355.5,90.0
9017422,-0.00,16.54,0.0,?,344.0,344.0,90.0
9211279,-0.00,16.89,0.0,?,336.7,336.7,90.0
9405136,-0.00,17.42,0.0,?,326.4,326.4,90.0
9598993,-0.00,17.95,0.0,?,316.6,316.6,90.0
9792850,-0.00,18.48,0.0,?,307.4,307.4,90.0
9986707,-0.00,19.00,0.0,?,298.7,298.7,90.0
10180564,-0.00,19.53,0.0,?,290.5,290.5,90.0
10374421,-0.00,19.88,0.0,?,285.3,285.3,90.0
10568278,-0.00,20.41,0.0,?,277.7,277.7,90.0
10762135,0.06,20.94,5.1,296.19,270.5,270.5,88.9
10955992,-0.00,21.29,0.0,?,266.0,266.0,90.0
11149849,-0.00,21.82,0.0,?,259.4,259.4,90.0
11343706,0.06,22.35,4.5,296.19,253.1,253.1,89.0
11537563,0.06,22.87,4.3,296.19,247.1,247.1,89.0
11731420,0.06,23.23,4.2,296.19,243.2,243.3,89.0
11925277,-0.00,23.75,0.0,?,237.7,237.7,90.0
12119134,-0.00,24.28,0.0,?,232.4,232.4,90.0
12312991,-0.00,24.63,0.0,?,229.0,229.0,90.0
12506848,-0.00,25.16,0.0,?,224.0,224.0,90.0
12700705,-0.00,25.69,0.0,?,219.3,219.3,90.0
12894562,-0.00,26.22,0.0,?,214.7,214.7,90.0
13088419,-0.00,26.57,0.0,?,211.8,211.8,90.0
13282276,-0.00,27.10,0.0,?,207.5,207.5,90.0
13476133,-0.00,27.62,0.0,?,203.4,203.4,90.0
13669990,-0.00,27.98,0.0,?,200.7,200.7,90.0
13863847,-0.00,28.50,0.0,?,196.8,196.8,90.0
14057704,-0.00,29.03,0.0,?,193.1,193.1,90.0
14251561,-0.00,29.38,0.0,?,190.7,190.7,90.0
14445418,-0.00,29.91,0.0,?,187.2,187.2,90.0
14639275,-0.00,30.44,0.0,?,183.8,183.8,90.0
14833132,-0.00,30.97,0.0,?,180.5,180.5,90.0
15026989,-0.00,31.32,0.0,?,178.4,178.4,90.0
15220846,-0.00,31.85,0.0,?,175.3,175.3,90.0
15414703,-0.00,32.38,0.0,?,172.2,172.2,90.0
15608560,-0.00,32.90,0.0,?,169.3,169.3,90.0
15802417,-0.00,33.26,0.0,?,167.4,167.4,90.0
15996274,-0.00,33.78,0.0,?,164.7,164.7,90.0
16190131,-0.00,34.31,0.0,?,162.0,162.0,90.0
16383988,-0.00,34.84,0.0,?,159.4,159.4,90.0
16577845,-0.00,35.19,0.0,?,157.7,157.7,90.0
16771702,0.06,35.72,1.8,296.19,155.2,155.2,89.3
16965559,0.06,36.25,1.7,296.19,152.7,152.8,89.3
17159416,0.06,36.60,1.7,296.19,151.2,151.2,89.4
17353273,0.06,37.13,1.7,296.19,148.9,148.9,89.4
17547130,0.06,37.65,1.6,296.19,146.6,146.6,89.4
17740987,0.06,38.01,1.6,296.19,145.2,145.2,89.4
17934844,0.06,38.53,1.6,296.19,143.0,143.0,89.4
18128701,0.06,39.06,1.5,296.19,140.9,140.9,89.4
18322558,0.06,39.59,1.5,296.19,138.9,138.9,89.4
18516415,0.06,40.12,1.4,296.19,136.9,136.9,89.4
18710272,0.06,40.65,1.4,296.19,135.0,135.0,89.4
18904129,0.06,41.17,1.4,296.19,133.1,133.1,89.4
19097986,0.06,41.52,1.3,296.19,131.9,131.9,89.4
19291843,-0.00,42.05,0.0,?,130.1,130.1,90.0
19485700,-0.00,42.40,0.0,?,128.9,128.9,90.0
19679557,-0.00,42.76,0.0,?,127.7,127.7,90.0
19873414,0.06,43.28,1.2,296.19,126.0,126.0,89.4
20067271,0.06,43.81,1.2,296.19,124.3,124.3,89.4
20261128,0.06,44.34,1.2,296.19,122.7,122.7,89.4
