Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
100000000,-21.58,80.76,0.0,0.00,0.0,0.0,0.0
100086206,-23.17,89.03,0.0,0.00,0.0,0.0,0.0
100172412,-23.17,89.03,0.0,0.00,0.0,0.0,0.0
100258618,-23.17,89.21,0.0,0.00,0.0,0.0,0.0
100344824,-23.17,89.21,0.0,0.00,0.0,0.0,0.0
100431030,-23.17,89.38,0.0,0.00,0.0,0.0,0.0
100517236,-23.17,89.38,0.0,0.00,0.0,0.0,0.0
100603442,-23.17,89.38,0.0,0.00,0.0,0.0,0.0
100689648,-23.17,89.56,0.0,0.00,0.0,0.0,0.0
100775854,-23.17,89.56,0.0,0.00,0.0,0.0,0.0
100862060,-23.17,89.74,0.0,0.00,0.0,0.0,0.0
100948266,-23.17,89.74,0.0,0.00,0.0,0.0,0.0
101034472,-23.17,89.91,0.0,0.00,0.0,0.0,0.0
101120678,-23.17,89.91,0.0,0.00,0.0,0.0,0.0
101206884,-23.17,89.91,0.0,0.00,0.0,0.0,0.0
101293090,-23.17,90.09,0.0,0.00,0.0,0.0,0.0
101379296,-23.17,90.09,0.0,0.00,0.0,0.0,0.0
101465502,-23.17,90.26,0.0,0.00,0.0,0.0,0.0
101551708,-23.17,90.26,0.0,0.00,0.0,0.0,0.0
101637914,-23.17,90.44,0.0,0.00,0.0,0.0,0.0
101724120,-23.17,90.44,0.0,0.00,0.0,0.0,0.0
101810326,-23.17,90.44,0.0,0.00,0.0,0.0,0.0
101896532,-23.17,90.62,0.0,0.00,0.0,0.0,0.0
101982738,-23.17,90.62,0.0,0.00,0.0,0.0,0.0
102068944,-23.17,90.79,0.0,0.00,0.0,0.0,0.0
102155150,-23.17,90.79,0.0,0.00,0.0,0.0,0.0
102241356,-23.17,90.97,0.0,0.00,0.0,0.0,0.0
102327562,-23.17,90.97,0.0,0.00,0.0,0.0,0.0
102413768,-23.17,91.14,0.0,0.00,0.0,0.0,0.0
102499974,-23.17,91.14,0.0,0.00,0.0,0.0,0.0
102586180,-23.17,91.32,0.0,0.00,0.0,0.0,0.0
102672386,-23.17,91.32,0.0,0.00,0.0,0.0,0.0
102758592,-23.17,91.32,0.0,0.00,0.0,0.0,0.0
102844798,-23.17,91.50,0.0,0.00,0.0,0.0,0.0
102931004,-23.17,91.50,0.0,0.00,0.0,0.0,0.0
103017210,-23.17,91.67,0.0,0.00,0.0,0.0,0.0
103103416,-23.17,91.67,0.0,0.00,0.0,0.0,0.0
103189622,-23.17,91.85,0.0,0.00,0.0,0.0,0.0
103275828,-23.17,91.85,0.0,0.00,0.0,0.0,0.0
103362034,-23.17,91.85,0.0,0.00,0.0,0.0,0.0
103448240,-23.17,92.02,0.0,0.00,0.0,0.0,0.0
103534446,-23.17,92.02,0.0,0.00,0.0,0.0,0.0
103620652,-23.17,92.20,0.0,0.00,0.0,0.0,0.0
103706858,-23.17,92.20,0.0,0.00,0.0,0.0,0.0
103793064,-23.17,92.38,0.0,0.00,0.0,0.0,0.0
103879270,-23.23,92.38,0.0,0.00,0.0,0.0,0.0
103965476,-23.17,92.38,0.0,0.00,0.0,0.0,0.0
104051682,-23.17,92.55,0.0,0.00,0.0,0.0,0.0
104137888,-23.17,92.55,0.0,0.00,0.0,0.0,0.0
104224094,-23.17,92.73,0.0,0.00,0.0,0.0,0.0
104310300,-23.17,92.73,0.0,0.00,0.0,0.0,0.0
104396506,-23.17,92.90,0.0,0.00,0.0,0.0,0.0
104482712,-23.17,92.90,0.0,0.00,0.0,0.0,0.0
104568918,-23.17,92.90,0.0,0.00,0.0,0.0,0.0
104655124,-23.17,93.08,0.0,0.00,0.0,0.0,0.0
104741330,-23.17,93.08,0.0,0.00,0.0,0.0,0.0
104827536,-23.17,93.26,0.0,0.00,0.0,0.0,0.0
104913742,-23.11,93.26,0.0,0.00,0.0,0.0,0.0
104999948,-23.11,93.43,0.0,0.00,0.0,0.0,0.0
105086154,-23.11,93.43,0.0,0.00,0.0,0.0,0.0
105172360,-23.11,93.61,0.0,0.00,0.0,0.0,0.0
105258566,-23.11,93.61,0.0,0.00,0.0,0.0,0.0
105344772,-23.11,93.78,0.0,0.00,0.0,0.0,0.0
105430978,-23.11,93.78,0.0,0.00,0.0,0.0,0.0
105517184,-23.11,93.78,0.0,0.00,0.0,0.0,0.0
105603390,-23.11,93.96,0.0,0.00,0.0,0.0,0.0
105689596,-23.17,93.96,0.0,0.00,0.0,0.0,0.0
105775802,-23.11,94.13,0.0,0.00,0.0,0.0,0.0
105862008,-23.17,94.13,0.0,0.00,0.0,0.0,0.0
105948214,-23.11,94.13,0.0,0.00,0.0,0.0,0.0
106034420,-23.17,94.31,0.0,0.00,0.0,0.0,0.0
106120626,-23.11,94.31,0.0,0.00,0.0,0.0,0.0
106206832,-23.11,94.49,0.0,0.00,0.0,0.0,0.0
106293038,-23.11,94.49,0.0,0.00,0.0,0.0,0.0
106379244,-23.11,94.66,0.0,0.00,0.0,0.0,0.0
106465450,-23.17,94.66,0.0,0.00,0.0,0.0,0.0
106551656,-23.11,94.84,0.0,0.00,0.0,0.0,0.0
106637862,-23.11,94.84,0.0,0.00,0.0,0.0,0.0
106724068,-23.11,95.01,0.0,0.00,0.0,0.0,0.0
106810274,-23.11,95.01,0.0,0.00,0.0,0.0,0.0
106896480,-23.11,95.01,0.0,0.00,0.0,0.0,0.0
106982686,-23.17,95.19,0.0,0.00,0.0,0.0,0.0
107068892,-23.11,95.19,0.0,0.00,0.0,0.0,0.0
107155098,-23.11,95.37,0.0,0.00,0.0,0.0,0.0
107241304,-23.11,95.37,0.0,0.00,0.0,0.0,0.0
107327510,-23.11,95.54,0.0,0.00,0.0,0.0,0.0
107413716,-23.11,95.54,0.0,0.00,0.0,0.0,0.0
107499922,-23.11,95.54,0.0,0.00,0.0,0.0,0.0
107586128,-23.11,95.72,0.0,0.00,0.0,0.0,0.0
107672334,-23.11,95.72,0.0,0.00,0.0,0.0,0.0
107758540,-23.11,95.89,0.0,0.00,0.0,0.0,0.0
107844746,-23.11,95.89,0.0,0.00,0.0,0.0,0.0
107930952,-23.11,96.07,0.0,0.00,0.0,0.0,0.0
108017158,-23.11,96.07,0.0,0.00,0.0,0.0,0.0
108103364,-23.11,96.25,0.0,0.00,0.0,0.0,0.0
108189570,-23.11,96.25,0.0,0.00,0.0,0.0,0.0
108275776,-23.11,96.25,0.0,0.00,0.0,0.0,0.0
108361982,-23.11,96.42,0.0,0.00,0.0,0.0,0.0
108448188,-23.11,96.42,0.0,0.00,0.0,0.0,0.0
108534394,-23.11,96.60,0.0,0.00,0.0,0.0,0.0
108620600,-23.11,96.60,0.0,0.00,0.0,0.0,0.0
108706806,-23.11,96.77,0.0,0.00,0.0,0.0,0.0
108793012,-23.11,96.77,0.0,0.00,0.0,0.0,0.0
108879218,-23.11,96.95,0.0,0.00,0.0,0.0,0.0
108965424,-23.11,96.95,0.0,0.00,0.0,0.0,0.0
109051630,-23.11,96.95,0.0,0.00,0.0,0.0,0.0
109137836,-23.11,97.13,0.0,0.00,0.0,0.0,0.0
109224042,-23.11,97.13,0.0,0.00,0.0,0.0,0.0
109310248,-23.11,97.30,0.0,0.00,0.0,0.0,0.0
109396454,-23.11,97.30,0.0,0.00,0.0,0.0,0.0
109482660,-23.11,97.48,0.0,0.00,0.0,0.0,0.0
109568866,-23.11,97.48,0.0,0.00,0.0,0.0,0.0
109655072,-23.11,97.65,0.0,0.00,0.0,0.0,0.0
109741278,-23.11,97.65,0.0,0.00,0.0,0.0,0.0
109827484,-23.11,97.83,0.0,0.00,0.0,0.0,0.0
109913690,-23.11,97.83,0.0,0.00,0.0,0.0,0.0
109999896,-23.11,97.83,0.0,0.00,0.0,0.0,0.0
110086102,-23.11,98.01,0.0,0.00,0.0,0.0,0.0
110172308,-23.11,98.01,0.0,0.00,0.0,0.0,0.0
110258514,-23.11,98.18,0.0,0.00,0.0,0.0,0.0
110344720,-23.11,98.18,0.0,0.00,0.0,0.0,0.0
110430926,-23.11,98.36,0.0,0.00,0.0,0.0,0.0
110517132,-23.11,98.36,0.0,0.00,0.0,0.0,0.0
110603338,-23.11,98.36,0.0,0.00,0.0,0.0,0.0
