Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-27.27,123.70,0.0,0.00,0.0,0.0,0.0
1063577,-30.56,158.71,0.0,0.00,0.0,0.0,0.0
1127154,-29.62,157.83,0.0,0.00,0.0,0.0,0.0
1190731,-28.68,158.18,0.0,0.00,0.0,0.0,0.0
1254308,-27.86,156.77,0.0,0.00,0.0,0.0,0.0
1317885,-26.98,155.89,0.0,0.00,0.0,0.0,0.0
1381462,-26.16,154.66,0.0,0.00,0.0,0.0,0.0
1445039,-25.40,152.90,0.0,0.00,0.0,0.0,0.0
1508616,-24.69,151.67,0.0,0.00,0.0,0.0,0.0
1572193,-24.05,150.09,0.0,0.00,0.0,0.0,0.0
1635770,-23.34,148.68,0.0,0.00,0.0,0.0,0.0
1699347,-22.70,147.45,0.0,0.00,0.0,0.0,0.0
1762924,-22.11,146.04,0.0,0.00,0.0,0.0,0.0
1826501,-21.47,144.63,0.0,0.00,0.0,0.0,0.0
1890078,-20.88,143.40,0.0,0.00,0.0,0.0,0.0
1953655,-20.29,141.99,0.0,0.00,0.0,0.0,0.0
2017232,-19.77,140.76,0.0,0.00,0.0,0.0,0.0
2080809,-19.24,139.53,0.0,0.00,0.0,0.0,0.0
2144386,-18.71,138.12,0.0,0.00,0.0,0.0,0.0
2207963,-18.24,136.89,0.0,0.00,0.0,0.0,0.0
2271540,-17.77,135.66,0.0,0.00,0.0,0.0,0.0
2335117,-17.30,134.25,0.0,0.00,0.0,0.0,0.0
2398694,-16.83,133.02,0.0,0.00,0.0,0.0,0.0
2462271,-16.36,131.79,0.0,0.00,0.0,0.0,0.0
2525848,-15.95,130.38,0.0,0.00,0.0,0.0,0.0
2589425,-15.54,129.15,0.0,0.00,0.0,0.0,0.0
2653002,-15.07,127.74,0.0,0.00,0.0,0.0,0.0
2716579,-14.72,126.51,0.0,0.00,0.0,0.0,0.0
2780156,-14.31,125.10,0.0,0.00,0.0,0.0,0.0
2843733,-13.90,123.70,0.0,0.00,0.0,0.0,0.0
2907310,-13.55,122.46,0.0,0.00,0.0,0.0,0.0
2970887,-13.20,121.06,0.0,0.00,0.0,0.0,0.0
3034464,-12.79,119.82,0.0,0.00,0.0,0.0,0.0
3098041,-12.43,118.42,0.0,0.00,0.0,0.0,0.0
3161618,-12.14,117.01,0.0,0.00,0.0,0.0,0.0
3225195,-11.79,115.60,0.0,0.00,0.0,0.0,0.0
3288772,-11.44,114.37,0.0,0.00,0.0,0.0,0.0
3352349,-11.14,112.96,0.0,0.00,0.0,0.0,0.0
3415926,-10.79,111.55,0.0,0.00,0.0,0.0,0.0
3479503,-10.50,110.15,0.0,0.00,0.0,0.0,0.0
3543080,-10.15,108.74,0.0,0.00,0.0,0.0,0.0
3606657,-9.85,107.33,0.0,0.00,0.0,0.0,0.0
3670234,-9.56,105.75,0.0,0.00,0.0,0.0,0.0
3733811,-9.27,104.34,0.0,0.00,0.0,0.0,0.0
3797388,-9.03,102.93,0.0,0.00,0.0,0.0,0.0
3860965,-8.74,101.35,0.0,0.00,0.0,0.0,0.0
3924542,-8.45,99.94,0.0,0.00,0.0,0.0,0.0
3988119,-8.21,98.36,0.0,0.00,0.0,0.0,0.0
4051696,-7.92,96.95,0.0,0.00,0.0,0.0,0.0
4115273,-7.68,95.37,0.0,0.00,0.0,0.0,0.0
4178850,-7.39,93.78,0.0,0.00,0.0,0.0,0.0
4242427,-7.16,92.20,0.0,0.00,0.0,0.0,0.0
4306004,-6.92,90.79,0.0,0.00,0.0,0.0,0.0
4369581,-6.69,89.21,0.0,0.00,0.0,0.0,0.0
4433158,-6.45,87.62,0.0,0.00,0.0,0.0,0.0
4496735,-6.22,86.04,0.0,0.00,0.0,0.0,0.0
4560312,-5.98,84.46,0.0,0.00,0.0,0.0,0.0
4623889,-5.75,82.87,0.0,0.00,0.0,0.0,0.0
4687466,-5.57,81.29,0.0,0.00,0.0,0.0,0.0
4751043,-5.34,79.53,0.0,0.00,0.0,0.0,0.0
4814620,-5.16,77.95,0.0,0.00,0.0,0.0,0.0
4878197,-4.93,76.36,0.0,0.00,0.0,0.0,0.0
4941774,-4.75,74.78,0.0,0.00,0.0,0.0,0.0
5005351,-4.57,73.20,0.0,0.00,0.0,0.0,0.0
5068928,-4.40,71.61,0.0,0.00,0.0,0.0,0.0
5132505,-4.22,69.85,0.0,0.00,0.0,0.0,0.0
5196082,-4.05,68.27,0.0,0.00,0.0,0.0,0.0
5259659,-3.87,66.69,0.0,0.00,0.0,0.0,0.0
5323236,-3.70,65.10,0.0,0.00,0.0,0.0,0.0
5386813,-3.52,63.34,0.0,0.00,0.0,0.0,0.0
5450390,-3.34,61.76,0.0,0.00,0.0,0.0,0.0
5513967,-3.23,60.18,0.0,0.00,0.0,0.0,0.0
5577544,-3.05,58.42,0.0,0.00,0.0,0.0,0.0
5641121,-2.93,56.83,0.0,0.00,0.0,0.0,0.0
5704698,-2.82,55.07,0.0,0.00,0.0,0.0,0.0
5768275,-2.64,53.49,0.0,0.00,0.0,0.0,0.0
5831852,-2.52,51.91,0.0,0.00,0.0,0.0,0.0
5895429,-2.40,50.15,0.0,0.00,0.0,0.0,0.0
5959006,-2.29,48.56,0.0,0.00,0.0,0.0,0.0
6022583,-2.17,46.80,0.0,0.00,0.0,0.0,0.0
6086160,-2.05,45.22,0.0,0.00,0.0,0.0,0.0
6149737,-1.94,43.64,0.0,0.00,0.0,0.0,0.0
6213314,-1.82,41.88,0.0,0.00,0.0,0.0,0.0
6276891,-1.70,40.29,0.0,0.00,0.0,0.0,0.0
6340468,-1.58,38.71,0.0,0.00,0.0,0.0,0.0
6404045,-1.52,36.95,0.0,0.00,0.0,0.0,0.0
6467622,-1.41,35.37,0.0,0.00,0.0,0.0,0.0
6531199,-1.35,33.78,0.0,0.00,0.0,0.0,0.0
6594776,-1.23,32.02,0.0,0.00,0.0,0.0,0.0
6658353,-1.17,30.44,0.0,0.00,0.0,0.0,0.0
6721930,-1.11,28.86,0.0,0.00,0.0,0.0,0.0
6785507,-1.00,27.27,0.0,0.00,0.0,0.0,0.0
6849084,-0.94,25.69,0.0,0.00,0.0,0.0,0.0
6912661,-0.88,23.93,0.0,0.00,0.0,0.0,0.0
6976238,-0.82,22.35,0.0,0.00,0.0,0.0,0.0
7039815,-0.76,20.76,0.0,0.00,0.0,0.0,0.0
7103392,-0.70,19.18,0.0,0.00,0.0,0.0,0.0
7166969,-0.65,17.60,0.0,0.00,0.0,0.0,0.0
7230546,-0.59,16.01,0.0,0.00,0.0,0.0,0.0
7294123,-0.53,14.43,0.0,0.00,0.0,0.0,0.0
7357700,-0.53,12.84,0.0,0.00,0.0,0.0,0.0
7421277,-0.47,11.44,0.0,0.00,0.0,0.0,0.0
7484854,-0.41,9.85,0.0,0.00,0.0,0.0,0.0
7548431,-0.41,8.27,0.0,0.00,0.0,0.0,0.0
7612008,-0.35,6.86,0.0,0.00,0.0,0.0,0.0
7675585,-0.35,5.45,0.0,0.00,0.0,0.0,0.0
7739162,-0.35,4.22,0.0,0.00,0.0,0.0,0.0
7802739,-0.29,3.34,0.0,0.00,0.0,0.0,0.0
7866316,-0.29,2.82,0.0,0.00,0.0,0.0,0.0
7929893,-0.23,2.64,0.0,0.00,0.0,0.0,0.0
7993470,-0.23,2.64,0.0,0.00,0.0,0.0,0.0
8057047,-0.23,2.64,0.0,0.00,0.0,0.0,0.0
8120624,-0.23,2.64,0.0,0.00,0.0,0.0,0.0
8184201,-0.23,2.82,0.0,0.00,0.0,0.0,0.0
8247778,-0.23,2.82,0.0,0.00,0.0,0.0,0.0
8311355,-0.23,2.82,0.0,0.00,0.0,0.0,0.0
8374932,-0.23,2.99,0.0,0.00,0.0,0.0,0.0
8438509,-0.23,3.34,0.0,0.00,0.0,0.0,0.0
8502086,-0.18,4.05,0.0,0.00,0.0,0.0,0.0
8565663,-0.23,5.10,0.0,0.00,0.0,0.0,0.0
8629240,-0.23,6.33,0.0,0.00,0.0,0.0,0.0
8692817,-0.23,7.57,0.0,0.00,0.0,0.0,0.0
8756394,-0.23,8.97,0.0,0.00,0.0,0.0,0.0
8819971,-0.23,10.21,0.0,0.00,0.0,0.0,0.0
8883548,-0.29,11.61,0.0,0.00,0.0,0.0,0.0
8947125,-0.29,12.84,0.0,0.00,0.0,0.0,0.0
9010702,-0.29,14.25,0.0,0.00,0.0,0.0,0.0
9074279,-0.35,15.48,0.0,0.00,0.0,0.0,0.0
9137856,-0.35,16.89,0.0,0.00,0.0,0.0,0.0
9201433,-0.35,18.12,0.0,0.00,0.0,0.0,0.0
