Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-45.40,85.69,0.0,0.00,0.0,0.0,0.0
1106681,-50.38,80.23,0.0,0.00,0.0,0.0,0.0
1213362,-50.38,80.76,0.0,0.00,0.0,0.0,0.0
1320043,-50.38,78.65,0.0,0.00,0.0,0.0,0.0
1426724,-50.38,82.87,0.0,0.00,0.0,0.0,0.0
1533405,-50.38,82.35,0.0,0.00,0.0,0.0,0.0
1640086,-50.38,75.48,0.0,0.00,0.0,0.0,0.0
1746767,-50.38,78.12,0.0,0.00,0.0,0.0,0.0
1853448,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
1960129,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
2066810,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
2173491,-50.32,73.37,0.0,0.00,0.0,0.0,0.0
2280172,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
2386853,-50.32,74.78,0.0,0.00,0.0,0.0,0.0
2493534,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
2600215,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
2706896,-50.32,80.76,0.0,0.00,0.0,0.0,0.0
2813577,-50.32,80.41,0.0,0.00,0.0,0.0,0.0
2920258,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
3026939,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
3133620,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
3240301,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
3346982,-50.32,81.29,0.0,0.00,0.0,0.0,0.0
3453663,-48.97,85.87,0.0,0.00,0.0,0.0,0.0
3560344,-50.32,91.67,0.0,0.00,0.0,0.0,0.0
3667025,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
3773706,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
3880387,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
3987068,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
4093749,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
4200430,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
4307111,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
4413792,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
4520473,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
4627154,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
4733835,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
4840516,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
4947197,-50.32,65.63,0.0,0.00,0.0,0.0,0.0
5053878,-50.26,74.08,0.0,0.00,0.0,0.0,0.0
5160559,-50.32,108.04,0.0,0.00,0.0,0.0,0.0
5267240,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
5373921,-50.32,75.84,0.0,0.00,0.0,0.0,0.0
5480602,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
5587283,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
5693964,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
5800645,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
5907326,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
6014007,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
6120688,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
6227369,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
6334050,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
6440731,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
6547412,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
6654093,-50.32,81.11,0.0,0.00,0.0,0.0,0.0
6760774,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
6867455,-50.32,80.06,0.0,0.00,0.0,0.0,0.0
6974136,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7080817,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
