Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
7000000,-46.74,85.16,0.0,0.00,0.0,0.0,0.0
7005387,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
7010774,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7016161,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
7021548,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7026935,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7032322,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7037709,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7043096,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7048483,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7053870,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7059257,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7064644,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
7070031,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7075418,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7080805,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
7086192,-50.32,74.78,0.0,0.00,0.0,0.0,0.0
7091579,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7096966,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7102353,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
7107740,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7113127,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7118514,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7123901,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7129288,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7134675,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
7140062,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
7145449,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7150836,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7156223,-50.32,80.06,0.0,0.00,0.0,0.0,0.0
7161610,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
7166997,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7172384,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7177771,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
7183158,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
7188545,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7193932,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7199319,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
7204706,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7210093,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7215480,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7220867,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
7226254,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7231641,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7237028,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7242415,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
7247802,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7253189,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7258576,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7263963,-50.32,73.20,0.0,0.00,0.0,0.0,0.0
7269350,-50.32,74.43,0.0,0.00,0.0,0.0,0.0
7274737,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7280124,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7285511,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
7290898,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
7296285,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
7301672,-50.32,74.60,0.0,0.00,0.0,0.0,0.0
7307059,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7312446,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7317833,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
7323220,-50.32,74.60,0.0,0.00,0.0,0.0,0.0
7328607,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7333994,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7339381,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7344768,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7350155,-50.32,75.84,0.0,0.00,0.0,0.0,0.0
7355542,-50.32,75.84,0.0,0.00,0.0,0.0,0.0
7360929,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7366316,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7371703,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7377090,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7382477,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7387864,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7393251,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7398638,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7404025,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7409412,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
7414799,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7420186,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7425573,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7430960,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7436347,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7441734,-50.32,80.06,0.0,0.00,0.0,0.0,0.0
7447121,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7452508,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7457895,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7463282,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7468669,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7474056,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
7479443,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7484830,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7490217,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7495604,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7500991,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
7506378,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
7511765,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
7517152,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
7522539,-50.32,75.84,0.0,0.00,0.0,0.0,0.0
7527926,-50.32,75.13,0.0,0.00,0.0,0.0,0.0
7533313,-50.32,74.43,0.0,0.00,0.0,0.0,0.0
7538700,-50.32,73.90,0.0,0.00,0.0,0.0,0.0
7544087,-50.32,74.25,0.0,0.00,0.0,0.0,0.0
7549474,-50.32,74.60,0.0,0.00,0.0,0.0,0.0
7554861,-50.32,73.72,0.0,0.00,0.0,0.0,0.0
7560248,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7565635,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7571022,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
7576409,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7581796,-50.32,75.31,0.0,0.00,0.0,0.0,0.0
7587183,-50.32,74.43,0.0,0.00,0.0,0.0,0.0
7592570,-50.32,74.96,0.0,0.00,0.0,0.0,0.0
7597957,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7603344,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7608731,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7614118,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7619505,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7624892,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7630279,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7635666,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7641053,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7646440,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7651827,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
7657214,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7662601,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
7667988,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7673375,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7678762,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7684149,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7689536,-50.32,80.06,0.0,0.00,0.0,0.0,0.0
7694923,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7700310,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7705697,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7711084,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
7716471,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
7721858,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7727245,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7732632,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7738019,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7743406,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7748793,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7754180,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7759567,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
7764954,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7770341,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7775728,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7781115,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7786502,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7791889,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7797276,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7802663,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7808050,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7813437,-50.32,74.08,0.0,0.00,0.0,0.0,0.0
7818824,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7824211,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7829598,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7834985,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
7840372,-50.32,76.36,0.0,0.00,0.0,0.0,0.0
7845759,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7851146,-50.32,75.48,0.0,0.00,0.0,0.0,0.0
7856533,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7861920,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7867307,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7872694,-50.32,76.01,0.0,0.00,0.0,0.0,0.0
7878081,-50.32,76.19,0.0,0.00,0.0,0.0,0.0
7883468,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7888855,-50.32,75.66,0.0,0.00,0.0,0.0,0.0
7894242,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
7899629,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7905016,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
7910403,-50.32,76.54,0.0,0.00,0.0,0.0,0.0
7915790,-50.32,76.72,0.0,0.00,0.0,0.0,0.0
7921177,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7926564,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
7931951,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
7937338,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
7942725,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
7948112,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
7953499,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
7958886,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
7964273,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7969660,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
7975047,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
7980434,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
7985821,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
7991208,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
7996595,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8001982,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
8007369,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8012756,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8018143,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
8023530,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
8028917,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8034304,-50.32,77.07,0.0,0.00,0.0,0.0,0.0
8039691,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8045078,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
8050465,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
8055852,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
8061239,-49.74,80.59,0.0,0.00,0.0,0.0,0.0
8066626,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
8072013,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8077400,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
8082787,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
8088174,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8093561,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
8098948,-50.32,77.24,0.0,0.00,0.0,0.0,0.0
8104335,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
8109722,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
8115109,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
8120496,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
8125883,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8131270,-50.32,78.30,0.0,0.00,0.0,0.0,0.0
8136657,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8142044,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8147431,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
8152818,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8158205,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8163592,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
8168979,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8174366,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8179753,-50.32,80.76,0.0,0.00,0.0,0.0,0.0
8185140,-50.32,79.88,0.0,0.00,0.0,0.0,0.0
8190527,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8195914,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8201301,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8206688,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
8212075,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8217462,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8222849,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
8228236,-47.04,81.82,0.0,0.00,0.0,0.0,0.0
8233623,-49.03,82.70,0.0,0.00,0.0,0.0,0.0
8239010,-50.32,81.11,0.0,0.00,0.0,0.0,0.0
8244397,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8249784,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
8255171,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8260558,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
8265945,-50.32,77.60,0.0,0.00,0.0,0.0,0.0
8271332,-50.32,79.88,0.0,0.00,0.0,0.0,0.0
8276719,-46.39,84.28,0.0,0.00,0.0,0.0,0.0
8282106,-50.32,76.89,0.0,0.00,0.0,0.0,0.0
8287493,-50.32,77.95,0.0,0.00,0.0,0.0,0.0
8292880,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
8298267,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8303654,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
8309041,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8314428,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8319815,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8325202,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8330589,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8335976,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8341363,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8346750,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8352137,-50.32,79.88,0.0,0.00,0.0,0.0,0.0
8357524,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
8362911,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8368298,-50.15,80.59,0.0,0.00,0.0,0.0,0.0
8373685,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8379072,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
8384459,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8389846,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
8395233,-50.32,80.06,0.0,0.00,0.0,0.0,0.0
8400620,-50.32,80.76,0.0,0.00,0.0,0.0,0.0
8406007,-50.32,77.77,0.0,0.00,0.0,0.0,0.0
8411394,-49.97,80.94,0.0,0.00,0.0,0.0,0.0
8416781,-50.32,79.53,0.0,0.00,0.0,0.0,0.0
8422168,-50.32,77.42,0.0,0.00,0.0,0.0,0.0
8427555,-50.32,80.59,0.0,0.00,0.0,0.0,0.0
8432942,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8438329,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8443716,-49.38,81.29,0.0,0.00,0.0,0.0,0.0
8449103,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
8454490,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
8459877,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8465264,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8470651,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8476038,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8481425,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8486812,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
8492199,-49.56,81.11,0.0,0.00,0.0,0.0,0.0
8497586,-50.32,78.83,0.0,0.00,0.0,0.0,0.0
8502973,-50.32,80.41,0.0,0.00,0.0,0.0,0.0
8508360,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
8513747,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8519134,-50.32,80.23,0.0,0.00,0.0,0.0,0.0
8524521,-49.33,80.94,0.0,0.00,0.0,0.0,0.0
8529908,-50.32,78.12,0.0,0.00,0.0,0.0,0.0
8535295,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8540682,-50.32,79.00,0.0,0.00,0.0,0.0,0.0
8546069,-50.32,78.65,0.0,0.00,0.0,0.0,0.0
8551456,-50.32,80.59,0.0,0.00,0.0,0.0,0.0
8556843,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8562230,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8567617,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8573004,-49.97,80.94,0.0,0.00,0.0,0.0,0.0
8578391,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8583778,-50.32,78.48,0.0,0.00,0.0,0.0,0.0
8589165,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
8594552,-50.32,79.18,0.0,0.00,0.0,0.0,0.0
8599939,-49.38,80.94,0.0,0.00,0.0,0.0,0.0
8605326,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
8610713,-50.32,79.35,0.0,0.00,0.0,0.0,0.0
