Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.06,47.68,1.0,296.77,113.1,113.1,89.5
1063577,-0.00,5.81,0.0,?,985.9,985.9,90.0
1127154,-0.00,6.51,0.0,?,879.1,879.1,90.0
1190731,-0.00,7.21,0.0,?,793.2,793.2,90.0
1254308,-0.00,8.09,0.0,?,706.7,706.7,90.0
1317885,-0.00,8.97,0.0,?,637.2,637.2,90.0
1381462,0.04,10.03,13.9,470.92,569.5,569.7,88.6
1445039,-0.00,10.91,0.0,?,523.6,523.6,90.0
1508616,-0.00,11.79,0.0,?,484.3,484.3,90.0
1572193,-0.00,12.67,0.0,?,450.4,450.4,90.0
1635770,-0.00,13.55,0.0,?,420.9,420.9,90.0
1699347,-0.00,14.60,0.0,?,390.2,390.2,90.0
1762924,-0.00,15.48,0.0,?,367.8,367.8,90.0
1826501,-0.00,16.54,0.0,?,344.0,344.0,90.0
1890078,-0.00,17.42,0.0,?,326.4,326.4,90.0
1953655,-0.00,18.30,0.0,?,310.4,310.4,90.0
2017232,-0.06,19.35,5.8,305.32,293.1,293.2,88.9
2080809,-0.06,20.23,5.5,296.77,280.1,280.2,88.9
2144386,-0.06,21.11,5.0,296.77,268.2,268.2,88.9
2207963,-0.06,22.17,4.6,296.77,255.1,255.2,89.0
2271540,-0.12,23.05,8.4,148.39,244.9,245.1,88.0
2335117,-0.12,23.93,7.8,148.39,235.7,235.8,88.1
2398694,-0.12,24.99,7.2,148.39,225.5,225.6,88.2
2462271,-0.12,25.87,6.7,148.39,217.5,217.6,88.2
2525848,-0.12,26.92,6.2,148.39,208.7,208.8,88.3
2589425,-0.12,27.98,5.8,148.39,200.6,200.6,88.4
2653002,-0.12,28.86,5.4,148.39,194.2,194.3,88.4
2716579,-0.12,29.91,5.1,148.39,187.0,187.1,88.5
2780156,-0.12,30.97,4.7,148.39,180.4,180.4,88.5
2843733,-0.18,32.02,6.6,98.93,174.0,174.1,87.8
2907310,-0.18,33.08,6.2,98.93,168.2,168.3,87.9
2970887,-0.18,34.13,5.9,98.93,162.7,162.8,87.9
3034464,-0.18,35.19,5.5,98.93,157.5,157.6,88.0
3098041,-0.29,36.25,8.7,59.41,152.3,152.6,86.7
3161618,-0.29,37.30,8.2,59.36,147.7,148.0,86.8
3225195,-0.29,38.53,7.7,59.36,142.7,142.9,86.9
3288772,-0.35,39.59,8.8,49.47,138.4,138.7,86.4
3352349,-0.35,40.65,8.4,49.47,134.5,134.8,86.4
3415926,-0.41,41.88,9.2,42.40,130.1,130.4,86.0
3479503,-0.41,42.93,8.8,42.40,126.6,126.9,86.0
3543080,-0.47,44.16,9.5,37.10,122.6,123.0,85.6
3606657,-0.47,45.22,9.1,37.10,119.5,119.8,85.7
3670234,-0.53,46.45,9.7,32.98,115.8,116.2,85.2
3733811,-0.53,47.68,9.2,32.98,112.5,112.9,85.3
3797388,-0.59,48.91,9.8,29.69,109.2,109.6,84.9
3860965,-0.64,50.15,10.3,26.99,106.1,106.6,84.5
3924542,-0.70,51.20,10.7,24.74,103.4,104.0,84.1
3988119,-0.76,52.61,11.1,22.84,100.2,100.8,83.7
4051696,-0.76,53.67,10.7,22.84,97.9,98.5,83.8
4115273,-0.82,55.07,10.9,21.21,94.9,95.5,83.4
4178850,-0.88,56.30,11.2,19.80,92.4,93.1,83.1
4242427,-0.94,57.54,11.5,18.57,89.9,90.7,82.7
4306004,-1.00,58.77,11.8,17.48,87.6,88.4,82.4
4369581,-1.05,60.00,12.0,16.51,85.3,86.2,82.0
4433158,-1.19,61.41,12.9,14.67,82.7,83.7,81.1
4496735,-1.29,62.64,13.5,13.51,80.5,81.7,80.5
4560312,-1.35,64.05,13.5,12.93,78.3,79.4,80.2
4623889,-1.46,65.28,14.2,11.90,76.2,77.5,79.4
4687466,-1.52,66.69,14.2,11.44,74.1,75.5,79.1
4751043,-1.58,67.92,14.3,11.02,72.3,73.7,78.8
4814620,-1.70,69.33,14.8,10.27,70.2,71.8,78.1
4878197,-1.81,70.73,15.2,9.61,68.2,69.9,77.4
4941774,-1.87,72.14,15.2,9.31,66.4,68.1,77.1
5005351,-1.99,73.37,15.6,8.77,64.7,66.6,76.4
5068928,-2.11,74.78,16.0,8.28,62.9,64.9,75.8
5132505,-2.22,76.19,16.3,7.85,61.1,63.3,75.1
5196082,-2.34,77.60,16.6,7.46,59.4,61.7,74.4
5259659,-2.46,79.00,16.9,7.11,57.8,60.2,73.7
5323236,-2.58,80.41,17.1,6.79,56.2,58.7,73.0
5386813,-2.75,81.82,17.7,6.37,54.5,57.3,72.0
5450390,-2.87,83.23,17.9,6.11,53.0,55.9,71.3
5513967,-3.04,84.63,18.5,5.77,51.4,54.6,70.2
5577544,-3.16,86.04,18.6,5.56,50.0,53.3,69.5
5641121,-3.34,87.45,19.1,5.27,48.5,52.1,68.5
5704698,-3.51,88.86,19.5,5.01,47.0,50.9,67.4
5768275,-3.69,90.44,19.9,4.78,45.5,49.6,66.4
5831852,-3.86,91.85,20.3,4.57,44.1,48.6,65.3
5895429,-4.04,93.26,20.7,4.38,42.8,47.5,64.2
5959006,-4.31,94.66,21.4,4.11,41.3,46.5,62.6
6022583,-4.51,96.07,21.8,3.94,40.0,45.5,61.4
6086160,-4.74,97.48,22.3,3.75,38.6,44.6,60.0
6149737,-4.92,99.06,22.6,3.63,37.3,43.6,58.9
6213314,-5.21,100.47,23.3,3.43,36.0,42.8,57.1
6276891,-5.44,101.88,23.7,3.29,34.7,42.1,55.7
6340468,-5.68,103.11,24.2,3.17,33.6,41.4,54.2
