Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.82,54.90,11.0,21.21,95.3,95.9,83.4
1106681,-0.00,2.46,0.0,?,2325.6,2325.6,90.0
1213362,-0.00,2.82,0.0,?,2034.8,2034.8,90.0
1320043,-0.00,3.52,0.0,?,1627.6,1627.6,90.0
1426724,-0.06,4.22,123.1,296.77,1344.9,1350.6,84.8
1533405,-0.06,5.10,84.5,296.77,1115.7,1118.9,85.7
1640086,-0.00,5.98,0.0,?,956.9,956.9,90.0
1746767,-0.00,6.86,0.0,?,834.0,834.0,90.0
1853448,-0.00,7.74,0.0,?,738.9,738.9,90.0
1960129,-0.00,8.62,0.6,043.10,663.3,663.3,89.9
2066810,-0.06,9.50,24.5,296.77,600.6,601.1,87.7
2173491,-0.06,10.38,20.6,296.77,549.6,550.0,87.9
2280172,-0.06,11.26,17.5,296.77,506.6,506.9,88.0
2386853,-0.06,12.14,15.1,296.77,469.7,469.9,88.2
2493534,-0.06,13.02,13.1,296.77,437.8,438.0,88.3
2600215,-0.06,13.90,11.5,296.77,409.8,410.0,88.4
2706896,-0.06,14.78,10.2,296.77,385.2,385.4,88.5
2813577,-0.06,15.66,9.1,296.77,363.4,363.5,88.6
2920258,-0.06,16.54,8.1,296.77,343.8,343.9,88.6
3026939,-0.00,17.42,0.0,?,326.4,326.4,90.0
3133620,-0.06,18.48,6.5,296.77,307.3,307.4,88.8
3240301,-0.06,19.35,6.0,296.77,293.1,293.2,88.8
3346982,-0.06,20.23,5.5,296.77,280.1,280.2,88.9
3453663,-0.06,20.94,5.1,296.77,270.5,270.5,88.9
3560344,-0.06,21.82,4.7,296.77,259.3,259.4,89.0
3667025,-0.06,22.87,4.3,296.77,247.1,247.1,89.0
3773706,-0.06,23.75,4.0,296.77,237.7,237.7,89.0
3880387,-0.06,24.63,3.7,296.77,228.9,229.0,89.1
3987068,-0.06,25.51,3.5,296.77,220.8,220.8,89.1
4093749,-0.06,26.39,3.2,296.77,213.2,213.2,89.1
4200430,-0.06,27.45,3.0,296.77,204.7,204.7,89.2
4307111,-0.06,28.33,2.8,296.77,198.1,198.1,89.2
4413792,-0.06,29.21,2.6,296.77,191.9,191.9,89.2
4520473,-0.12,30.26,4.9,148.39,184.8,184.8,88.5
4627154,-0.12,31.14,4.7,148.39,179.3,179.4,88.5
4733835,-0.12,32.20,4.4,148.39,173.1,173.2,88.6
4840516,-0.18,33.43,6.1,98.93,166.3,166.4,87.9
4947197,-0.35,35.19,11.0,49.47,157.0,157.3,86.0
5053878,-0.47,35.72,14.2,37.10,154.0,154.6,84.7
5160559,-0.35,34.13,11.7,49.47,162.1,162.5,85.9
5267240,-0.23,35.01,7.4,74.20,158.2,158.4,87.3
5373921,-0.18,36.07,5.3,98.93,153.4,153.5,88.0
5480602,-0.18,37.13,5.0,98.93,148.7,148.8,88.1
5587283,-0.12,38.18,3.1,148.39,144.4,144.4,88.8
5693964,-0.18,39.24,4.5,98.93,140.1,140.2,88.2
5800645,-0.18,40.12,4.3,98.93,136.8,136.9,88.2
5907326,-0.18,40.82,4.2,98.93,134.3,134.3,88.2
6014007,-0.18,41.70,4.0,98.93,131.2,131.2,88.3
6120688,-0.18,42.58,3.8,98.93,128.2,128.3,88.3
6227369,-0.18,43.46,3.7,98.93,125.4,125.4,88.3
6334050,-0.18,44.34,3.5,98.93,122.6,122.7,88.3
6440731,-0.18,45.22,3.4,98.93,120.0,120.0,88.4
6547412,-0.18,46.10,3.3,98.93,117.4,117.5,88.4
6654093,-0.18,47.16,3.2,98.93,114.5,114.5,88.4
6760774,-0.18,48.04,3.0,98.93,112.1,112.2,88.4
6867455,-0.18,48.91,2.9,98.93,109.9,109.9,88.5
6974136,-0.12,49.79,1.9,148.39,107.7,107.7,89.0
7080817,-0.18,50.85,2.7,98.93,105.1,105.2,88.5
7187498,-0.18,51.73,2.7,98.93,103.1,103.1,88.5
7294179,-0.18,52.61,2.6,98.93,101.1,101.1,88.5
7400860,-0.18,53.49,2.5,98.93,99.2,99.2,88.6
7507541,-0.18,54.55,2.4,98.93,96.9,97.0,88.6
7614222,-0.12,55.60,1.5,148.39,94.8,94.8,89.1
7720903,-0.12,56.48,1.5,148.39,93.1,93.1,89.1
7827584,-0.12,57.54,1.5,148.39,91.1,91.1,89.1
7934265,-0.12,58.42,1.4,148.39,89.4,89.4,89.1
8040946,-0.18,59.47,2.1,98.93,87.5,87.5,88.7
8147627,-0.18,60.53,2.0,98.93,85.7,85.7,88.7
8254308,-0.18,61.58,1.9,98.93,83.9,83.9,88.7
8360989,-0.18,62.82,1.9,98.93,81.9,81.9,88.7
8467670,-0.18,63.87,1.8,98.93,80.2,80.2,88.7
8574351,-0.18,65.10,1.7,98.93,78.3,78.3,88.7
8681032,-0.12,66.33,1.1,148.39,76.5,76.5,89.2
8787713,-0.12,67.74,1.1,148.39,74.5,74.5,89.2
8894394,-0.12,69.50,1.0,148.39,72.1,72.1,89.2
9001075,-0.23,72.32,1.9,74.20,68.4,68.4,88.4
9107756,-0.64,73.37,5.2,26.99,66.9,67.1,85.6
9214437,-0.88,70.21,7.6,19.80,70.6,71.0,83.9
9321118,-0.82,71.26,6.9,21.21,69.3,69.7,84.3
9427799,-0.82,71.26,6.9,21.21,69.3,69.7,84.3
9534480,-0.76,71.26,6.4,22.84,69.4,69.7,84.7
9641161,-0.59,71.96,4.9,29.69,68.6,68.8,85.9
9747842,-0.58,72.84,4.7,30.02,67.6,67.7,86.0
9854523,-0.41,73.72,3.3,42.40,66.6,66.7,87.2
9961204,-0.29,75.66,2.2,59.36,64.3,64.4,88.0
