Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
10000000,-1.35,83.23,8.7,12.93,55.5,56.2,81.1
10001077,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10002154,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10003231,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10004308,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10005385,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10006462,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10007539,-0.35,75.66,2.7,49.47,64.3,64.4,87.6
10008616,-0.35,75.84,2.7,49.47,64.1,64.2,87.6
10009693,-0.35,75.84,2.7,49.47,64.1,64.2,87.6
10010770,-0.35,75.84,2.7,49.47,64.1,64.2,87.6
10011847,-0.29,75.84,2.2,59.36,64.1,64.2,88.0
10012924,-0.29,75.84,2.2,59.36,64.1,64.2,88.0
10014001,-0.29,75.84,2.2,59.36,64.1,64.2,88.0
10015078,-0.29,75.84,2.2,59.36,64.1,64.2,88.0
10016155,-0.29,75.84,2.2,59.36,64.1,64.2,88.0
10017232,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10018309,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10019386,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10020463,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10021540,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10022617,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10023694,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10024771,-0.29,76.01,2.2,59.36,63.9,64.0,88.0
10025848,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10026925,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10028002,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10029079,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10030156,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10031233,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10032310,-0.29,76.19,2.2,59.36,63.7,63.8,88.0
10033387,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10034464,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10035541,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10036618,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10037695,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10038772,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10039849,-0.29,76.36,2.2,59.36,63.5,63.6,88.0
10040926,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10042003,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10043080,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10044157,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10045234,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10046311,-0.29,76.54,2.2,59.36,63.3,63.4,88.0
10047388,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10048465,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10049542,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10050619,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10051696,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10052773,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10053850,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10054927,-0.29,76.72,2.2,59.36,63.1,63.2,88.0
10056004,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10057081,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10058158,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10059235,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10060312,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10061389,-0.29,76.89,2.2,59.36,62.9,63.0,88.0
10062466,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10063543,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10064620,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10065697,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10066774,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10067851,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10068928,-0.29,77.07,2.2,59.36,62.7,62.8,88.0
10070005,-0.29,77.24,2.2,59.36,62.5,62.6,88.0
10071082,-0.29,77.24,2.2,59.36,62.5,62.6,88.0
10072159,-0.29,77.24,2.2,59.36,62.5,62.6,88.0
