1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-82.125,100000.,-91.125,100000.,-73.625,100000.,-82.275
100900.,-86.625,100900.,-90.125,100900.,-74.625,100900.,-84.525
101800.,-85.125,101800.,-91.625,101800.,-73.625,101800.,-78.925
102700.,-82.125,102700.,-90.125,102700.,-71.625,102700.,-83.525
103600.,-76.125,103600.,-93.125,103600.,-75.125,103600.,-82.325
104500.,-82.625,104500.,-91.625,104500.,-76.125,104500.,-82.675
105400.,-82.125,105400.,-90.125,105400.,-75.125,105400.,-82.575
106300.,-83.625,106300.,-91.625,106300.,-72.625,106300.,-80.975
107200.,-85.625,107200.,-91.125,107200.,-75.625,107200.,-82.725
108100.,-90.125,108100.,-93.125,108100.,-75.125,108100.,-82.475
109000.,-80.65625,109000.,-93.15625,109000.,-75.65625,109000.,-82.00625
109900.,-86.15625,109900.,-90.15625,109900.,-75.65625,109900.,-79.90625
110800.,-82.15625,110800.,-93.15625,110800.,-74.65625,110800.,-82.85625
111700.,-81.15625,111700.,-91.15625,111700.,-75.65625,111700.,-80.70625
112600.,-92.65625,112600.,-89.65625,112600.,-76.15625,112600.,-83.65625
113500.,-82.15625,113500.,-88.65625,113500.,-73.65625,113500.,-80.65625
114400.,-76.65625,114400.,-89.65625,114400.,-73.65625,114400.,-85.15625
115300.,-90.15625,115300.,-93.15625,115300.,-74.65625,115300.,-81.55625
116200.,-86.6875,116200.,-90.1875,116200.,-75.6875,116200.,-81.1375
117100.,-85.1875,117100.,-92.6875,117100.,-74.1875,117100.,-83.0375
118000.,-83.6875,118000.,-89.6875,118000.,-74.1875,118000.,-83.3375
118900.,-84.1875,118900.,-88.6875,118900.,-75.1875,118900.,-83.9375
119800.,-83.1875,119800.,-91.6875,119800.,-74.1875,119800.,-83.4375
120700.,-80.1875,120700.,-93.1875,120700.,-75.6875,120700.,-84.8875
121600.,-84.1875,121600.,-92.6875,121600.,-73.6875,121600.,-85.0375
122500.,-83.6875,122500.,-93.1875,122500.,-76.6875,122500.,-82.4375
123400.,-79.71875,123400.,-93.21875,123400.,-75.71875,123400.,-83.26875
124300.,-78.21875,124300.,-88.21875,124300.,-76.71875,124300.,-81.91875
125200.,-88.21875,125200.,-92.71875,125200.,-75.21875,125200.,-83.36875
126100.,-90.21875,126100.,-93.21875,126100.,-76.21875,126100.,-82.81875
127000.,-78.21875,127000.,-93.21875,127000.,-72.71875,127000.,-82.51875
127900.,-79.21875,127900.,-91.71875,127900.,-75.21875,127900.,-82.41875
128800.,-76.71875,128800.,-91.71875,128800.,-75.21875,128800.,-81.21875
129700.,-90.21875,129700.,-90.21875,129700.,-75.21875,129700.,-83.61875
130600.,-77.75,130600.,-90.25,130600.,-74.75,130600.,-80.85
131500.,-86.75,131500.,-90.25,131500.,-75.75,131500.,-82.65
132400.,-81.25,132400.,-89.75,132400.,-74.25,132400.,-82.1
133300.,-88.25,133300.,-92.75,133300.,-75.25,133300.,-84.9
134200.,-82.75,134200.,-92.75,134200.,-74.75,134200.,-83.25
135100.,-80.25,135100.,-93.25,135100.,-75.25,135100.,-81.8
136000.,-77.75,136000.,-90.25,136000.,-75.25,136000.,-81.1
136900.,-77.25,136900.,-94.75,136900.,-76.25,136900.,-81.55
137800.,-79.28125,137800.,-89.78125,137800.,-76.78125,137800.,-83.43125
138700.,-82.28125,138700.,-91.28125,138700.,-75.78125,138700.,-82.88125
139600.,-83.78125,139600.,-91.78125,139600.,-76.78125,139600.,-81.13125
140500.,-84.78125,140500.,-90.28125,140500.,-76.78125,140500.,-82.88125
141400.,-80.28125,141400.,-91.78125,141400.,-75.78125,141400.,-82.48125
142300.,-85.28125,142300.,-91.28125,142300.,-75.78125,142300.,-82.53125
143200.,-80.78125,143200.,-93.28125,143200.,-75.28125,143200.,-83.53125
144100.,-82.3125,144100.,-91.8125,144100.,-73.8125,144100.,-81.7625
145000.,-73.8125,145000.,-89.8125,145000.,-73.8125,145000.,-81.9625
145900.,-86.8125,145900.,-88.8125,145900.,-74.3125,145900.,-82.8625
146800.,-92.8125,146800.,-92.8125,146800.,-75.3125,146800.,-83.5625
147700.,-85.8125,147700.,-93.3125,147700.,-74.8125,147700.,-82.8125
148600.,-77.3125,148600.,-93.3125,148600.,-73.8125,148600.,-82.9625
149500.,-79.8125,149500.,-91.3125,149500.,-76.8125,149500.,-83.6625
150400.,-86.3125,150400.,-91.3125,150400.,-76.3125,150400.,-82.8625
151300.,-86.84375,151300.,-89.84375,151300.,-76.34375,151300.,-82.69375
152200.,-83.34375,152200.,-88.34375,152200.,-75.84375,152200.,-82.59375
153100.,-84.34375,153100.,-89.84375,153100.,-73.84375,153100.,-83.29375
154000.,-83.34375,154000.,-91.34375,154000.,-74.84375,154000.,-82.34375
154900.,-76.84375,154900.,-93.34375,154900.,-74.84375,154900.,-82.29375
155800.,-81.84375,155800.,-94.84375,155800.,-75.34375,155800.,-83.69375
156700.,-88.84375,156700.,-91.84375,156700.,-74.84375,156700.,-83.34375
157600.,-83.84375,157600.,-93.34375,157600.,-74.34375,157600.,-84.29375
158500.,-77.375,158500.,-91.375,158500.,-74.875,158500.,-82.925
159400.,-80.875,159400.,-89.875,159400.,-75.375,159400.,-82.625
160300.,-84.375,160300.,-88.875,160300.,-74.375,160300.,-83.025
161200.,-83.375,161200.,-94.875,161200.,-74.875,161200.,-82.675
162100.,-81.375,162100.,-91.875,162100.,-73.875,162100.,-82.425
163000.,-83.875,163000.,-88.875,163000.,-76.375,163000.,-82.475
163900.,-79.875,163900.,-91.375,163900.,-75.875,163900.,-82.225
164800.,-81.375,164800.,-89.875,164800.,-75.375,164800.,-81.875
165700.,-81.90625,165700.,-89.40625,165700.,-75.40625,165700.,-82.50625
166600.,-81.40625,166600.,-88.90625,166600.,-75.40625,166600.,-81.40625
167500.,-75.90625,167500.,-94.90625,167500.,-73.90625,167500.,-81.45625
168400.,-84.90625,168400.,-94.90625,168400.,-76.40625,168400.,-84.95625
169300.,-90.40625,169300.,-90.90625,169300.,-76.40625,169300.,-84.15625
170200.,-86.40625,170200.,-90.40625,170200.,-75.90625,170200.,-85.60625
171100.,-83.90625,171100.,-91.90625,171100.,-73.40625,171100.,-80.60625
172000.,-77.40625,172000.,-89.90625,172000.,-75.40625,172000.,-82.55625
172900.,-80.9375,172900.,-91.9375,172900.,-74.9375,172900.,-82.2875
173800.,-83.4375,173800.,-93.4375,173800.,-73.9375,173800.,-82.5875
