1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-75.625,100000.,-86.625,100000.,-76.625,100000.,-80.425
100900.,-82.625,100900.,-93.125,100900.,-76.125,100900.,-81.825
101800.,-84.125,101800.,-86.125,101800.,-73.625,101800.,-79.775
102700.,-86.125,102700.,-90.125,102700.,-75.125,102700.,-80.575
103600.,-85.625,103600.,-86.625,103600.,-75.625,103600.,-81.425
104500.,-85.625,104500.,-86.625,104500.,-76.625,104500.,-83.275
105400.,-88.625,105400.,-89.625,105400.,-75.125,105400.,-82.475
106300.,-85.125,106300.,-91.125,106300.,-72.625,106300.,-83.225
107200.,-86.625,107200.,-93.125,107200.,-75.625,107200.,-81.575
108100.,-84.625,108100.,-87.125,108100.,-77.625,108100.,-82.225
109000.,-79.65625,109000.,-89.65625,109000.,-77.65625,109000.,-84.50625
109900.,-90.15625,109900.,-91.65625,109900.,-76.65625,109900.,-86.20625
110800.,-85.15625,110800.,-89.65625,110800.,-78.65625,110800.,-80.80625
111700.,-80.65625,111700.,-86.65625,111700.,-76.15625,111700.,-81.35625
112600.,-79.15625,112600.,-88.15625,112600.,-78.15625,112600.,-83.35625
113500.,-83.65625,113500.,-88.65625,113500.,-78.15625,113500.,-83.00625
114400.,-83.15625,114400.,-86.65625,114400.,-76.15625,114400.,-80.65625
115300.,-81.15625,115300.,-91.65625,115300.,-76.15625,115300.,-82.80625
116200.,-78.1875,116200.,-91.6875,116200.,-76.6875,116200.,-80.6875
117100.,-80.6875,117100.,-91.6875,117100.,-76.6875,117100.,-82.1375
118000.,-82.6875,118000.,-93.1875,118000.,-74.1875,118000.,-83.3375
118900.,-83.1875,118900.,-90.1875,118900.,-75.1875,118900.,-83.1375
119800.,-80.1875,119800.,-91.1875,119800.,-77.1875,119800.,-82.1875
120700.,-79.1875,120700.,-91.1875,120700.,-77.6875,120700.,-82.2875
121600.,-88.1875,121600.,-88.1875,121600.,-73.6875,121600.,-83.5875
122500.,-86.1875,122500.,-93.1875,122500.,-78.1875,122500.,-83.1875
123400.,-81.71875,123400.,-90.21875,123400.,-77.21875,123400.,-83.56875
124300.,-86.71875,124300.,-91.71875,124300.,-78.21875,124300.,-84.46875
125200.,-81.71875,125200.,-91.71875,125200.,-79.71875,125200.,-83.81875
126100.,-86.71875,126100.,-88.21875,126100.,-79.71875,126100.,-84.56875
