1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-72.625,100000.,-73.125,100000.,-70.625,100000.,-72.125
104900.,-75.125,104900.,-80.125,104900.,-76.125,104900.,-77.525
109800.,-83.625,109800.,-83.625,109800.,-76.65625,109800.,-79.35
114700.,-79.65625,114700.,-82.65625,114700.,-75.65625,114700.,-78.8625
119600.,-80.1875,119600.,-82.6875,119600.,-76.1875,119600.,-79.7875
124500.,-78.71875,124500.,-80.71875,124500.,-75.21875,124500.,-78.11875
129400.,-83.21875,129400.,-83.21875,129400.,-76.71875,129400.,-79.4375
134300.,-78.25,134300.,-79.75,134300.,-78.75,134300.,-79.15
139200.,-74.78125,139200.,-80.78125,139200.,-75.28125,139200.,-77.68125
144100.,-77.28125,144100.,-80.28125,144100.,-75.78125,144100.,-78.08125
149000.,-81.8125,149000.,-81.8125,149000.,-79.3125,149000.,-80.7125
153900.,-81.84375,153900.,-81.84375,153900.,-77.34375,153900.,-79.94375
158800.,-76.34375,158800.,-79.34375,158800.,-77.875,158800.,-78.15625
163700.,-78.375,163700.,-80.875,163700.,-76.875,163700.,-78.575
168600.,-82.40625,168600.,-82.40625,168600.,-75.40625,168600.,-78.00625
173500.,-73.90625,173500.,-79.4375,173500.,-75.4375,173500.,-77.225
178400.,-77.96875,178400.,-80.4375,178400.,-77.9375,178400.,-78.75
183300.,-83.46875,183300.,-84.96875,183300.,-74.46875,183300.,-80.76875
188200.,-79.46875,188200.,-80.,188200.,-77.5,188200.,-78.9875
193100.,-79.5,193100.,-79.5,193100.,-77.,193100.,-78.70625
198000.,-81.03125,198000.,-82.53125,198000.,-79.03125,198000.,-80.63125
202900.,-80.03125,202900.,-83.03125,202900.,-78.5625,202900.,-80.54375
207800.,-78.0625,207800.,-79.0625,207800.,-75.0625,207800.,-77.4625
212700.,-81.59375,212700.,-81.59375,212700.,-75.59375,212700.,-78.99375
217600.,-80.125,217600.,-80.125,217600.,-77.125,217600.,-79.11875
222500.,-80.125,222500.,-80.125,222500.,-77.65625,222500.,-79.23125
227400.,-79.15625,227400.,-80.15625,227400.,-76.65625,227400.,-78.75625
232300.,-79.6875,232300.,-82.1875,232300.,-78.6875,232300.,-80.0875
237200.,-78.21875,237200.,-81.71875,237200.,-77.71875,237200.,-79.80625
242100.,-78.21875,242100.,-79.71875,242100.,-76.21875,242100.,-78.71875
247000.,-79.25,247000.,-81.75,247000.,-78.25,247000.,-79.75
251900.,-83.78125,251900.,-83.78125,251900.,-76.78125,251900.,-79.6625
256800.,-76.78125,256800.,-78.78125,256800.,-75.28125,256800.,-76.98125
261700.,-78.8125,261700.,-79.8125,261700.,-76.3125,261700.,-77.9125
266600.,-76.3125,266600.,-80.34375,266600.,-75.8125,266600.,-78.33125
271500.,-82.875,271500.,-82.875,271500.,-75.84375,271500.,-79.45
276400.,-76.375,276400.,-78.875,276400.,-74.875,276400.,-77.075
281300.,-77.40625,281300.,-81.40625,281300.,-77.90625,281300.,-78.60625
286200.,-78.40625,286200.,-79.40625,286200.,-74.9375,286200.,-77.51875
291100.,-78.9375,291100.,-80.4375,291100.,-75.4375,291100.,-78.4375
296000.,-74.9375,296000.,-81.96875,296000.,-76.46875,296000.,-78.2625
300900.,-80.,300900.,-80.,300900.,-74.96875,300900.,-77.88125
305800.,-79.5,305800.,-79.5,305800.,-75.5,305800.,-77.4
310700.,-81.03125,310700.,-81.03125,310700.,-75.03125,310700.,-77.625
315600.,-77.03125,315600.,-77.03125,315600.,-73.53125,315600.,-75.5375
320500.,-81.0625,320500.,-81.0625,320500.,-76.0625,320500.,-78.4625
325400.,-75.59375,325400.,-81.59375,325400.,-76.59375,325400.,-78.59375
330300.,-77.625,330300.,-78.59375,330300.,-76.625,330300.,-77.40625
335200.,-77.625,335200.,-79.125,335200.,-75.625,335200.,-77.725
340100.,-79.65625,340100.,-79.65625,340100.,-76.65625,340100.,-78.35625
345000.,-81.15625,345000.,-81.65625,345000.,-76.65625,345000.,-79.3625
