1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-36.09375,100000.,-36.09375,100000.,-36.09375,100000.,-36.09375
100900.,-41.09375,100900.,-41.09375,100900.,-41.09375,100900.,-41.09375
101800.,-69.09375,101800.,-69.59375,101800.,-69.09375,101800.,-69.2604166667
102700.,-77.59375,102700.,-79.59375,102700.,-77.09375,102700.,-78.09375
103600.,-79.09375,103600.,-83.59375,103600.,-82.09375,103600.,-81.59375
104500.,-82.09375,104500.,-86.59375,104500.,-82.09375,104500.,-83.59375
105400.,-83.09375,105400.,-84.09375,105400.,-79.59375,105400.,-82.2604166667
106300.,-80.09375,106300.,-85.09375,106300.,-80.09375,106300.,-81.7604166667
107200.,-84.09375,107200.,-84.09375,107200.,-77.59375,107200.,-80.59375
108100.,-76.625,108100.,-77.625,108100.,-76.125,108100.,-76.7916666667
109000.,-39.625,109000.,-39.625,109000.,-39.625,109000.,-39.625
109900.,-32.625,109900.,-32.625,109900.,-32.625,109900.,-32.625
110800.,-35.625,110800.,-35.625,110800.,-35.625,110800.,-35.625
111700.,-60.625,111700.,-62.125,111700.,-61.125,111700.,-61.2916666667
112600.,-82.625,112600.,-82.625,112600.,-76.125,112600.,-79.4583333333
113500.,-81.625,113500.,-82.625,113500.,-81.125,113500.,-81.7916666667
114400.,-83.125,114400.,-84.625,114400.,-82.625,114400.,-83.4583333333
115300.,-81.125,115300.,-81.125,115300.,-78.125,115300.,-79.6354166667
116200.,-85.65625,116200.,-85.65625,116200.,-78.15625,116200.,-81.9895833333
117100.,-78.15625,117100.,-79.15625,117100.,-78.65625,117100.,-78.65625
118000.,-81.65625,118000.,-81.65625,118000.,-75.15625,118000.,-78.15625
118900.,-40.65625,118900.,-40.65625,118900.,-40.65625,118900.,-40.65625
119800.,-31.15625,119800.,-31.65625,119800.,-31.15625,119800.,-31.3229166667
120700.,-33.65625,120700.,-33.65625,120700.,-33.65625,120700.,-33.65625
121600.,-55.65625,121600.,-56.15625,121600.,-56.15625,121600.,-55.9895833333
122500.,-83.6875,122500.,-83.6875,122500.,-78.15625,122500.,-80.6666666667
123400.,-83.6875,123400.,-83.6875,123400.,-80.6875,123400.,-82.5208333333
