1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-79.09375,100000.,-87.59375,100000.,-77.59375,100000.,-82.79375
100900.,-78.59375,100900.,-89.09375,100900.,-62.59375,100900.,-73.64375
101800.,-81.59375,101800.,-86.59375,101800.,-37.59375,101800.,-62.54375
102700.,-80.59375,102700.,-87.59375,102700.,-33.09375,102700.,-62.89375
103600.,-89.59375,103600.,-89.59375,103600.,-39.09375,103600.,-65.54375
104500.,-84.59375,104500.,-85.59375,104500.,-69.09375,104500.,-76.79375
105400.,-76.59375,105400.,-87.59375,105400.,-75.59375,105400.,-79.54375
106300.,-81.09375,106300.,-88.59375,106300.,-77.09375,106300.,-82.39375
107200.,-85.09375,107200.,-86.59375,107200.,-75.59375,107200.,-81.19375
108100.,-46.625,108100.,-86.59375,108100.,-46.625,108100.,-60.5625
109000.,-32.125,109000.,-87.125,109000.,-32.125,109000.,-52.225
109900.,-32.625,109900.,-89.125,109900.,-32.125,109900.,-52.475
110800.,-46.625,110800.,-86.625,110800.,-46.625,110800.,-60.125
111700.,-77.125,111700.,-86.625,111700.,-76.625,111700.,-78.775
112600.,-85.125,112600.,-86.625,112600.,-76.125,112600.,-80.275
113500.,-82.625,113500.,-87.625,113500.,-76.125,113500.,-81.975
114400.,-77.625,114400.,-84.125,114400.,-74.625,114400.,-79.225
115300.,-81.65625,115300.,-85.15625,115300.,-49.65625,115300.,-80.040625
116200.,-79.15625,116200.,-84.15625,116200.,-30.65625,116200.,-79.75625
117100.,-80.15625,117100.,-83.65625,117100.,-28.65625,117100.,-80.65625
118000.,-84.15625,118000.,-84.65625,118000.,-39.15625,118000.,-81.75625
118900.,-85.15625,118900.,-85.15625,118900.,-73.15625,118900.,-83.00625
119800.,-77.15625,119800.,-82.65625,119800.,-73.65625,119800.,-77.60625
120700.,-82.65625,120700.,-84.15625,120700.,-38.65625,120700.,-67.30625
121600.,-82.65625,121600.,-86.15625,121600.,-28.65625,121600.,-60.55625
122500.,-78.65625,122500.,-87.1875,122500.,-29.65625,122500.,-61.01875
123400.,-86.6875,123400.,-86.6875,123400.,-41.6875,123400.,-65.6375
124300.,-78.1875,124300.,-85.6875,124300.,-75.1875,124300.,-80.7875
125200.,-77.1875,125200.,-83.1875,125200.,-74.1875,125200.,-79.0875
126100.,-47.6875,126100.,-85.1875,126100.,-47.1875,126100.,-60.6875
127000.,-31.1875,127000.,-89.6875,127000.,-31.1875,127000.,-50.9375
127900.,-29.6875,127900.,-85.6875,127900.,-29.6875,127900.,-50.7375
128800.,-42.1875,128800.,-84.1875,128800.,-42.1875,128800.,-58.0875
129700.,-77.21875,129700.,-85.1875,129700.,-75.6875,129700.,-79.053125
130600.,-80.21875,130600.,-86.21875,130600.,-75.21875,130600.,-80.86875
131500.,-81.71875,131500.,-85.71875,131500.,-78.21875,131500.,-80.61875
132400.,-81.71875,132400.,-87.21875,132400.,-75.71875,132400.,-81.56875
133300.,-85.21875,133300.,-87.71875,133300.,-77.71875,133300.,-81.86875
134200.,-80.21875,134200.,-85.71875,134200.,-77.71875,134200.,-80.51875
135100.,-76.71875,135100.,-87.71875,135100.,-74.21875,135100.,-78.51875
136000.,-81.71875,136000.,-85.71875,136000.,-75.21875,136000.,-80.76875
136900.,-80.25,136900.,-87.75,136900.,-75.25,136900.,-81.684375
137800.,-83.25,137800.,-86.25,137800.,-75.75,137800.,-80.95
138700.,-81.25,138700.,-86.75,138700.,-77.75,138700.,-80.25
139600.,-75.75,139600.,-86.25,139600.,-76.75,139600.,-79.75
140500.,-81.25,140500.,-86.25,140500.,-39.75,140500.,-65.85
141400.,-83.25,141400.,-86.75,141400.,-30.25,141400.,-62.65
142300.,-80.25,142300.,-87.25,142300.,-32.75,142300.,-61.85
143200.,-82.75,143200.,-85.75,143200.,-54.25,143200.,-71.65
144100.,-56.78125,144100.,-84.78125,144100.,-56.78125,144100.,-65.825
145000.,-36.28125,145000.,-85.78125,145000.,-35.78125,145000.,-52.68125
145900.,-32.78125,145900.,-85.28125,145900.,-32.78125,145900.,-52.23125
146800.,-42.28125,146800.,-84.28125,146800.,-38.28125,146800.,-57.88125
147700.,-80.28125,147700.,-86.78125,147700.,-28.78125,147700.,-81.38125
148600.,-82.78125,148600.,-85.78125,148600.,-31.28125,148600.,-80.23125
149500.,-88.28125,149500.,-88.28125,149500.,-53.28125,149500.,-82.48125
150400.,-83.28125,150400.,-87.28125,150400.,-76.78125,150400.,-82.23125
151300.,-80.3125,151300.,-87.8125,151300.,-73.78125,151300.,-83.95
152200.,-80.8125,152200.,-85.3125,152200.,-76.8125,152200.,-81.5125
153100.,-79.8125,153100.,-87.8125,153100.,-77.3125,153100.,-83.0125
154000.,-87.3125,154000.,-87.8125,154000.,-77.8125,154000.,-82.0125
154900.,-82.8125,154900.,-86.3125,154900.,-76.3125,154900.,-80.4125
155800.,-77.8125,155800.,-86.8125,155800.,-74.8125,155800.,-80.6625
156700.,-81.8125,156700.,-88.8125,156700.,-58.8125,156700.,-81.1125
157600.,-80.8125,157600.,-87.3125,157600.,-30.8125,157600.,-82.8625
158500.,-80.34375,158500.,-89.8125,158500.,-26.8125,158500.,-84.075
159400.,-85.84375,159400.,-87.34375,159400.,-32.34375,159400.,-82.94375
160300.,-85.34375,160300.,-86.84375,160300.,-63.84375,160300.,-84.09375
161200.,-76.84375,161200.,-88.84375,161200.,-78.34375,161200.,-81.54375
162100.,-71.34375,162100.,-90.34375,162100.,-70.84375,162100.,-74.74375
163000.,-43.34375,163000.,-88.34375,163000.,-43.34375,163000.,-60.74375
163900.,-39.34375,163900.,-89.84375,163900.,-38.84375,163900.,-55.79375
164800.,-44.84375,164800.,-89.84375,164800.,-44.84375,164800.,-60.39375
165700.,-81.84375,165700.,-84.375,165700.,-74.84375,165700.,-79.35
166600.,-82.375,166600.,-85.375,166600.,-77.875,166600.,-82.075
167500.,-85.375,167500.,-86.875,167500.,-78.375,167500.,-83.125
168400.,-83.375,168400.,-88.375,168400.,-78.375,168400.,-83.225
169300.,-82.875,169300.,-88.875,169300.,-79.875,169300.,-84.775
170200.,-80.875,170200.,-89.375,170200.,-76.875,170200.,-82.175
171100.,-84.875,171100.,-87.375,171100.,-77.875,171100.,-83.775
172000.,-81.375,172000.,-87.875,172000.,-76.875,172000.,-82.675
172900.,-78.40625,172900.,-86.90625,172900.,-76.40625,172900.,-81.703125
173800.,-84.40625,173800.,-89.40625,173800.,-70.40625,173800.,-83.30625
174700.,-84.40625,174700.,-87.90625,174700.,-72.40625,174700.,-82.85625
175600.,-78.40625,175600.,-87.40625,175600.,-77.90625,175600.,-81.00625
176500.,-81.40625,176500.,-86.40625,176500.,-78.90625,176500.,-82.20625
177400.,-86.40625,177400.,-86.40625,177400.,-77.90625,177400.,-82.60625
178300.,-87.40625,178300.,-87.90625,178300.,-77.90625,178300.,-83.10625
179200.,-85.40625,179200.,-86.40625,179200.,-46.90625,179200.,-68.10625
180100.,-71.9375,180100.,-88.4375,180100.,-31.4375,180100.,-56.2375
181000.,-36.9375,181000.,-89.9375,181000.,-30.4375,181000.,-34.3375
181900.,-30.4375,181900.,-86.4375,181900.,-29.9375,181900.,-35.6875
182800.,-34.4375,182800.,-87.9375,182800.,-34.4375,182800.,-52.7875
183700.,-59.9375,183700.,-86.4375,183700.,-59.4375,183700.,-67.9375
184600.,-80.9375,184600.,-87.9375,184600.,-76.9375,184600.,-79.6875
185500.,-80.9375,185500.,-86.4375,185500.,-73.4375,185500.,-79.4375
186400.,-81.9375,186400.,-86.4375,186400.,-74.9375,186400.,-79.3375
187300.,-83.46875,187300.,-89.46875,187300.,-78.4375,187300.,-82.696875
188200.,-79.46875,188200.,-87.46875,188200.,-77.46875,188200.,-82.86875
189100.,-82.96875,189100.,-89.46875,189100.,-77.96875,189100.,-84.36875
190000.,-81.46875,190000.,-87.46875,190000.,-76.46875,190000.,-81.61875
190900.,-80.46875,190900.,-88.46875,190900.,-75.46875,190900.,-82.16875
191800.,-79.46875,191800.,-85.96875,191800.,-71.46875,191800.,-81.51875
192700.,-82.46875,192700.,-87.46875,192700.,-73.46875,192700.,-83.01875
193600.,-83.46875,193600.,-85.46875,193600.,-75.46875,193600.,-81.71875
194500.,-84.,194500.,-86.46875,194500.,-78.,194500.,-83.390625
195400.,-85.,195400.,-85.5,195400.,-77.,195400.,-81.6
196300.,-79.,196300.,-87.5,196300.,-78.,196300.,-83.15
197200.,-82.5,197200.,-86.5,197200.,-78.5,197200.,-81.9
198100.,-83.5,198100.,-87.5,198100.,-76.5,198100.,-83.5
199000.,-87.,199000.,-89.5,199000.,-38.,199000.,-69.8
199900.,-79.,199900.,-83.,199900.,-28.,199900.,-63.35
200800.,-73.,200800.,-85.,200800.,-31.,200800.,-60.65
201700.,-75.53125,201700.,-86.03125,201700.,-53.53125,201700.,-73.03125
202600.,-80.03125,202600.,-88.03125,202600.,-74.53125,202600.,-81.78125
203500.,-86.03125,203500.,-88.03125,203500.,-76.03125,203500.,-81.33125
204400.,-84.03125,204400.,-85.03125,204400.,-76.53125,204400.,-81.78125
205300.,-85.53125,205300.,-87.03125,205300.,-73.53125,205300.,-79.83125
206200.,-82.53125,206200.,-89.03125,206200.,-76.53125,206200.,-80.48125
207100.,-80.53125,207100.,-88.03125,207100.,-77.03125,207100.,-81.18125
208000.,-80.53125,208000.,-88.03125,208000.,-79.03125,208000.,-82.48125
208900.,-78.0625,208900.,-89.0625,208900.,-78.5625,208900.,-82.6125
209800.,-80.5625,209800.,-87.5625,209800.,-78.0625,209800.,-82.8625
210700.,-84.5625,210700.,-89.0625,210700.,-77.0625,210700.,-80.9125
211600.,-87.5625,211600.,-87.5625,211600.,-76.5625,211600.,-82.6125
212500.,-80.0625,212500.,-85.0625,212500.,-78.0625,212500.,-83.1125
213400.,-80.0625,213400.,-87.5625,213400.,-77.0625,213400.,-81.4625
214300.,-83.5625,214300.,-87.5625,214300.,-77.0625,214300.,-82.0625
215200.,-76.5625,215200.,-89.0625,215200.,-77.5625,215200.,-81.2625
216100.,-80.59375,216100.,-89.59375,216100.,-75.59375,216100.,-81.74375
217000.,-42.09375,217000.,-85.59375,217000.,-42.09375,217000.,-58.34375
217900.,-30.09375,217900.,-85.59375,217900.,-29.59375,217900.,-41.14375
218800.,-31.09375,218800.,-87.09375,218800.,-31.09375,218800.,-32.24375
219700.,-48.59375,219700.,-86.59375,219700.,-30.09375,219700.,-41.29375
220600.,-79.09375,220600.,-86.09375,220600.,-37.09375,220600.,-61.89375
221500.,-80.09375,221500.,-89.59375,221500.,-68.59375,221500.,-75.99375
222400.,-84.09375,222400.,-87.09375,222400.,-78.09375,222400.,-81.34375
223300.,-85.125,223300.,-86.625,223300.,-74.625,223300.,-83.025
224200.,-86.125,224200.,-86.125,224200.,-72.125,224200.,-79.625
225100.,-81.625,225100.,-85.125,225100.,-69.625,225100.,-78.525
226000.,-82.125,226000.,-85.625,226000.,-72.125,226000.,-81.475
226900.,-79.625,226900.,-86.625,226900.,-74.125,226900.,-82.625
227800.,-86.125,227800.,-89.625,227800.,-80.125,227800.,-83.475
228700.,-83.625,228700.,-91.125,228700.,-79.625,228700.,-83.025
229600.,-84.125,229600.,-86.625,229600.,-77.125,229600.,-81.225
230500.,-82.15625,230500.,-87.65625,230500.,-77.15625,230500.,-82.00625
231400.,-83.15625,231400.,-86.65625,231400.,-76.65625,231400.,-82.75625
232300.,-81.65625,232300.,-86.65625,232300.,-76.65625,232300.,-81.80625
233200.,-80.15625,233200.,-85.65625,233200.,-69.15625,233200.,-82.30625
234100.,-79.15625,234100.,-85.65625,234100.,-66.15625,234100.,-81.20625
235000.,-55.15625,235000.,-86.65625,235000.,-54.65625,235000.,-65.40625
235900.,-39.15625,235900.,-87.65625,235900.,-39.15625,235900.,-57.50625
236800.,-39.15625,236800.,-88.15625,236800.,-39.15625,236800.,-56.40625
237700.,-53.1875,237700.,-87.6875,237700.,-52.6875,237700.,-64.9875
238600.,-81.6875,238600.,-89.6875,238600.,-76.1875,238600.,-82.2875
239500.,-83.6875,239500.,-87.6875,239500.,-74.6875,239500.,-82.9875
240400.,-79.1875,240400.,-88.1875,240400.,-42.1875,240400.,-82.9875
241300.,-79.1875,241300.,-85.6875,241300.,-26.6875,241300.,-82.2375
242200.,-84.1875,242200.,-87.1875,242200.,-26.6875,242200.,-84.5875
243100.,-84.1875,243100.,-87.1875,243100.,-42.1875,243100.,-81.4375
244000.,-80.1875,244000.,-82.1875,244000.,-68.1875,244000.,-76.0875
244900.,-81.71875,244900.,-82.71875,244900.,-70.71875,244900.,-77.56875
245800.,-80.71875,245800.,-85.21875,245800.,-76.21875,245800.,-81.01875
246700.,-79.21875,246700.,-86.71875,246700.,-77.21875,246700.,-82.46875
247600.,-80.21875,247600.,-87.21875,247600.,-77.71875,247600.,-81.71875
248500.,-79.21875,248500.,-90.71875,248500.,-72.21875,248500.,-81.41875
249400.,-80.71875,249400.,-85.71875,249400.,-75.21875,249400.,-81.81875
250300.,-82.71875,250300.,-83.71875,250300.,-75.71875,250300.,-79.81875
251200.,-81.21875,251200.,-89.71875,251200.,-37.21875,251200.,-81.36875
252100.,-77.25,252100.,-86.25,252100.,-27.75,252100.,-80.75
253000.,-52.75,253000.,-84.25,253000.,-31.25,253000.,-63.85
253900.,-34.25,253900.,-85.25,253900.,-34.25,253900.,-53.2
254800.,-32.25,254800.,-86.25,254800.,-32.25,254800.,-52.15
255700.,-43.75,255700.,-86.75,255700.,-43.25,255700.,-59.65
256600.,-76.75,256600.,-86.25,256600.,-76.25,256600.,-80.3
257500.,-85.75,257500.,-85.75,257500.,-38.75,257500.,-64.7
258400.,-84.25,258400.,-86.75,258400.,-29.25,258400.,-61.55
259300.,-86.78125,259300.,-86.78125,259300.,-32.78125,259300.,-62.88125
260200.,-84.28125,260200.,-85.28125,260200.,-54.28125,260200.,-70.68125
261100.,-81.78125,261100.,-85.28125,261100.,-77.28125,261100.,-80.53125
262000.,-77.28125,262000.,-86.78125,262000.,-75.28125,262000.,-81.13125
262900.,-86.78125,262900.,-88.28125,262900.,-77.78125,262900.,-81.08125
263800.,-81.28125,263800.,-88.28125,263800.,-74.28125,263800.,-77.93125
264700.,-84.28125,264700.,-85.28125,264700.,-74.28125,264700.,-80.93125
265600.,-77.28125,265600.,-85.78125,265600.,-77.28125,265600.,-80.88125
266500.,-80.3125,266500.,-87.8125,266500.,-76.3125,266500.,-80.3625
267400.,-76.8125,267400.,-87.3125,267400.,-76.8125,267400.,-80.8625
268300.,-78.8125,268300.,-84.8125,268300.,-77.3125,268300.,-80.1625
269200.,-80.3125,269200.,-84.3125,269200.,-72.8125,269200.,-80.5625
270100.,-79.8125,270100.,-84.3125,270100.,-69.3125,270100.,-81.2125
271000.,-54.8125,271000.,-87.8125,271000.,-54.8125,271000.,-64.1625
271900.,-31.3125,271900.,-84.8125,271900.,-31.3125,271900.,-50.7125
