1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-88.625,100000.,-90.125,100000.,-74.625,100000.,-82.875
100900.,-87.125,100900.,-91.125,100900.,-74.125,100900.,-83.525
101800.,-82.625,101800.,-89.625,101800.,-74.625,101800.,-83.075
102700.,-88.125,102700.,-88.625,102700.,-73.625,102700.,-83.025
103600.,-84.125,103600.,-91.125,103600.,-75.125,103600.,-83.525
104500.,-82.125,104500.,-91.625,104500.,-72.625,104500.,-82.875
105400.,-78.625,105400.,-91.625,105400.,-74.125,105400.,-82.475
106300.,-82.625,106300.,-90.125,106300.,-75.125,106300.,-81.275
107200.,-80.625,107200.,-91.125,107200.,-67.625,107200.,-82.525
108100.,-83.125,108100.,-91.625,108100.,-74.125,108100.,-84.125
109000.,-78.15625,109000.,-91.15625,109000.,-73.65625,109000.,-82.20625
109900.,-80.65625,109900.,-88.65625,109900.,-74.15625,109900.,-81.05625
110800.,-86.65625,110800.,-90.15625,110800.,-73.15625,110800.,-83.80625
111700.,-85.65625,111700.,-91.65625,111700.,-74.65625,111700.,-84.90625
112600.,-81.15625,112600.,-93.15625,112600.,-73.15625,112600.,-83.10625
113500.,-80.65625,113500.,-91.15625,113500.,-73.65625,113500.,-83.30625
114400.,-82.15625,114400.,-91.15625,114400.,-73.65625,114400.,-81.00625
115300.,-88.65625,115300.,-88.65625,115300.,-73.65625,115300.,-83.50625
116200.,-84.1875,116200.,-90.1875,116200.,-75.1875,116200.,-82.2875
117100.,-79.1875,117100.,-93.1875,117100.,-74.6875,117100.,-82.6875
118000.,-85.6875,118000.,-91.1875,118000.,-74.1875,118000.,-82.1875
118900.,-86.6875,118900.,-93.1875,118900.,-73.6875,118900.,-83.1375
119800.,-87.6875,119800.,-91.6875,119800.,-75.6875,119800.,-83.2375
120700.,-84.1875,120700.,-93.1875,120700.,-73.6875,120700.,-82.6375
121600.,-79.6875,121600.,-88.6875,121600.,-74.6875,121600.,-82.2375
122500.,-83.1875,122500.,-88.1875,122500.,-72.1875,122500.,-82.4875
123400.,-85.21875,123400.,-94.71875,123400.,-74.71875,123400.,-83.16875
124300.,-79.71875,124300.,-90.21875,124300.,-72.21875,124300.,-82.26875
125200.,-90.21875,125200.,-90.21875,125200.,-73.71875,125200.,-81.56875
126100.,-82.21875,126100.,-91.71875,126100.,-74.71875,126100.,-82.41875
127000.,-90.21875,127000.,-91.21875,127000.,-74.71875,127000.,-84.61875
127900.,-84.21875,127900.,-91.71875,127900.,-74.71875,127900.,-82.11875
128800.,-83.21875,128800.,-91.21875,128800.,-74.71875,128800.,-82.96875
129700.,-80.71875,129700.,-93.21875,129700.,-74.21875,129700.,-82.36875
130600.,-86.75,130600.,-94.75,130600.,-73.75,130600.,-84.5
131500.,-88.25,131500.,-93.25,131500.,-73.25,131500.,-85.4
132400.,-85.25,132400.,-91.25,132400.,-73.75,132400.,-83.8
133300.,-81.25,133300.,-90.25,133300.,-73.75,133300.,-82.35
134200.,-84.25,134200.,-92.75,134200.,-74.25,134200.,-83.7
135100.,-81.75,135100.,-91.25,135100.,-75.25,135100.,-81.55
136000.,-91.75,136000.,-91.75,136000.,-74.25,136000.,-82.5
136900.,-83.25,136900.,-90.25,136900.,-73.75,136900.,-83.8
137800.,-84.78125,137800.,-90.28125,137800.,-74.28125,137800.,-82.63125
138700.,-81.28125,138700.,-92.78125,138700.,-75.28125,138700.,-83.73125
139600.,-88.28125,139600.,-89.78125,139600.,-75.28125,139600.,-82.08125
140500.,-77.28125,140500.,-90.28125,140500.,-72.78125,140500.,-80.58125
141400.,-79.28125,141400.,-92.78125,141400.,-75.28125,141400.,-81.33125
142300.,-79.28125,142300.,-93.28125,142300.,-75.28125,142300.,-82.48125
143200.,-83.78125,143200.,-89.78125,143200.,-73.78125,143200.,-83.63125
144100.,-79.8125,144100.,-91.3125,144100.,-73.3125,144100.,-80.4625
145000.,-85.8125,145000.,-94.8125,145000.,-74.8125,145000.,-82.7625
145900.,-86.8125,145900.,-93.3125,145900.,-73.8125,145900.,-81.3625
146800.,-83.3125,146800.,-91.3125,146800.,-68.8125,146800.,-81.2625
147700.,-83.8125,147700.,-91.8125,147700.,-74.8125,147700.,-83.1625
148600.,-79.3125,148600.,-88.8125,148600.,-73.3125,148600.,-83.1125
149500.,-80.3125,149500.,-93.3125,149500.,-72.8125,149500.,-80.4625
150400.,-84.3125,150400.,-91.3125,150400.,-73.8125,150400.,-82.6125
151300.,-80.34375,151300.,-90.34375,151300.,-74.84375,151300.,-82.34375
152200.,-77.84375,152200.,-92.84375,152200.,-75.34375,152200.,-80.44375
153100.,-82.34375,153100.,-87.34375,153100.,-76.34375,153100.,-81.84375
154000.,-87.84375,154000.,-91.34375,154000.,-75.34375,154000.,-82.44375
154900.,-78.84375,154900.,-90.34375,154900.,-74.84375,154900.,-81.14375
155800.,-85.34375,155800.,-92.84375,155800.,-74.34375,155800.,-82.59375
156700.,-84.84375,156700.,-91.34375,156700.,-72.34375,156700.,-83.89375
157600.,-85.34375,157600.,-89.84375,157600.,-65.34375,157600.,-81.29375
158500.,-77.875,158500.,-91.375,158500.,-72.875,158500.,-82.175
159400.,-86.875,159400.,-89.875,159400.,-74.875,159400.,-83.875
160300.,-81.375,160300.,-88.875,160300.,-75.375,160300.,-83.775
161200.,-81.375,161200.,-91.375,161200.,-73.375,161200.,-82.575
162100.,-79.375,162100.,-90.375,162100.,-75.875,162100.,-82.025
163000.,-80.875,163000.,-89.875,163000.,-73.375,163000.,-82.275
163900.,-76.875,163900.,-90.375,163900.,-75.375,163900.,-83.175
164800.,-89.875,164800.,-91.875,164800.,-74.375,164800.,-84.925
165700.,-81.90625,165700.,-92.90625,165700.,-74.40625,165700.,-81.00625
166600.,-82.40625,166600.,-92.90625,166600.,-73.40625,166600.,-82.80625
167500.,-77.40625,167500.,-91.90625,167500.,-75.90625,167500.,-80.95625
168400.,-82.90625,168400.,-91.40625,168400.,-72.90625,168400.,-81.65625
169300.,-81.90625,169300.,-92.90625,169300.,-74.90625,169300.,-83.00625
170200.,-82.40625,170200.,-88.40625,170200.,-75.40625,170200.,-82.05625
171100.,-81.40625,171100.,-88.40625,171100.,-72.90625,171100.,-80.60625
172000.,-89.90625,172000.,-89.90625,172000.,-73.90625,172000.,-82.75625
172900.,-84.9375,172900.,-91.4375,172900.,-74.9375,172900.,-83.3875
173800.,-85.4375,173800.,-94.9375,173800.,-75.4375,173800.,-81.0375
174700.,-88.9375,174700.,-90.4375,174700.,-73.4375,174700.,-81.6875
175600.,-88.4375,175600.,-93.4375,175600.,-73.9375,175600.,-85.9375
176500.,-82.9375,176500.,-90.4375,176500.,-73.9375,176500.,-83.2875
177400.,-82.9375,177400.,-91.9375,177400.,-73.9375,177400.,-83.0875
178300.,-86.4375,178300.,-91.4375,178300.,-72.9375,178300.,-84.2375
179200.,-84.9375,179200.,-91.9375,179200.,-72.9375,179200.,-82.2375
180100.,-82.46875,180100.,-91.46875,180100.,-71.96875,180100.,-82.21875
181000.,-82.46875,181000.,-88.46875,181000.,-71.96875,181000.,-81.91875
181900.,-82.46875,181900.,-89.96875,181900.,-73.46875,181900.,-79.76875
182800.,-81.46875,182800.,-88.96875,182800.,-73.46875,182800.,-82.51875
183700.,-82.96875,183700.,-89.96875,183700.,-72.46875,183700.,-83.86875
184600.,-84.46875,184600.,-90.46875,184600.,-74.46875,184600.,-82.71875
185500.,-81.96875,185500.,-90.46875,185500.,-75.46875,185500.,-81.21875
186400.,-86.96875,186400.,-91.96875,186400.,-73.96875,186400.,-83.86875
187300.,-79.,187300.,-90.5,187300.,-75.,187300.,-80.85
188200.,-82.,188200.,-93.5,188200.,-71.5,188200.,-80.55
189100.,-82.,189100.,-93.5,189100.,-74.,189100.,-83.25
190000.,-78.,190000.,-90.,190000.,-74.5,190000.,-81.85
190900.,-84.,190900.,-88.5,190900.,-74.,190900.,-83.55
191800.,-91.5,191800.,-93.,191800.,-74.5,191800.,-83.75
192700.,-80.,192700.,-90.5,192700.,-75.5,192700.,-81.
193600.,-75.5,193600.,-93.5,193600.,-75.,193600.,-80.45
194500.,-83.53125,194500.,-91.53125,194500.,-73.03125,194500.,-82.93125
195400.,-81.03125,195400.,-87.03125,195400.,-74.53125,195400.,-80.73125
196300.,-92.03125,196300.,-93.03125,196300.,-74.53125,196300.,-83.28125
