1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-81.59375,100000.,-91.59375,100000.,-73.625,100000.,-81.74375
100900.,-82.59375,100900.,-88.59375,100900.,-71.59375,100900.,-83.19375
101800.,-75.59375,101800.,-93.09375,101800.,-73.625,101800.,-81.94375
102700.,-76.09375,102700.,-91.59375,102700.,-72.625,102700.,-81.99375
103600.,-86.09375,103600.,-93.09375,103600.,-74.59375,103600.,-82.94375
104500.,-77.09375,104500.,-89.59375,104500.,-72.625,104500.,-81.84375
105400.,-78.09375,105400.,-90.09375,105400.,-73.125,105400.,-81.79375
106300.,-77.59375,106300.,-89.59375,106300.,-74.125,106300.,-82.74375
107200.,-84.09375,107200.,-92.59375,107200.,-67.625,107200.,-82.69375
108100.,-85.09375,108100.,-91.09375,108100.,-74.125,108100.,-83.09375
109000.,-79.625,109000.,-93.125,109000.,-73.65625,109000.,-81.875
109900.,-85.125,109900.,-90.125,109900.,-74.15625,109900.,-82.875
110800.,-84.125,110800.,-90.125,110800.,-73.15625,110800.,-83.175
111700.,-83.625,111700.,-89.625,111700.,-74.15625,111700.,-82.075
112600.,-83.625,112600.,-90.125,112600.,-73.15625,112600.,-83.625
113500.,-82.125,113500.,-93.125,113500.,-73.65625,113500.,-83.425
114400.,-86.125,114400.,-91.625,114400.,-72.625,114400.,-86.125
115300.,-82.125,115300.,-94.625,115300.,-71.65625,115300.,-82.225
116200.,-83.15625,116200.,-89.65625,116200.,-72.6875,116200.,-81.75625
117100.,-80.65625,117100.,-90.15625,117100.,-73.1875,117100.,-82.95625
118000.,-80.65625,118000.,-93.15625,118000.,-73.6875,118000.,-83.20625
118900.,-78.15625,118900.,-93.15625,118900.,-73.6875,118900.,-81.10625
119800.,-86.15625,119800.,-89.65625,119800.,-73.15625,119800.,-82.05625
120700.,-82.15625,120700.,-92.65625,120700.,-73.1875,120700.,-81.90625
121600.,-86.65625,121600.,-92.65625,121600.,-74.1875,121600.,-84.40625
122500.,-87.65625,122500.,-89.65625,122500.,-72.1875,122500.,-82.90625
123400.,-83.6875,123400.,-88.6875,123400.,-74.21875,123400.,-82.7375
124300.,-80.1875,124300.,-94.6875,124300.,-72.21875,124300.,-84.7375
125200.,-76.6875,125200.,-91.1875,125200.,-73.6875,125200.,-81.9375
126100.,-87.1875,126100.,-87.6875,126100.,-72.21875,126100.,-82.6875
127000.,-80.1875,127000.,-89.6875,127000.,-72.6875,127000.,-81.3875
127900.,-83.6875,127900.,-91.6875,127900.,-72.6875,127900.,-82.0375
128800.,-85.1875,128800.,-94.6875,128800.,-73.6875,128800.,-81.3375
129700.,-81.6875,129700.,-91.1875,129700.,-72.71875,129700.,-82.1375
130600.,-79.71875,130600.,-93.21875,130600.,-73.75,130600.,-82.06875
131500.,-80.71875,131500.,-92.71875,131500.,-73.25,131500.,-80.86875
132400.,-81.21875,132400.,-94.71875,132400.,-72.75,132400.,-82.86875
133300.,-83.71875,133300.,-89.71875,133300.,-66.25,133300.,-82.76875
134200.,-82.71875,134200.,-91.21875,134200.,-71.75,134200.,-82.16875
135100.,-76.71875,135100.,-91.71875,135100.,-73.25,135100.,-82.36875
136000.,-80.71875,136000.,-88.71875,136000.,-73.21875,136000.,-81.46875
