1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-78.75,100000.,-80.75,100000.,-74.75,100000.,-77.5357142857
104900.,-82.25,104900.,-82.25,104900.,-76.25,104900.,-79.4642857143
109800.,-76.28125,109800.,-82.28125,109800.,-74.78125,109800.,-78.8526785714
114700.,-79.28125,114700.,-82.28125,114700.,-67.78125,114700.,-77.4955357143
119600.,-76.3125,119600.,-82.3125,119600.,-73.3125,119600.,-77.8839285714
124500.,-76.34375,124500.,-82.34375,124500.,-78.84375,124500.,-79.6294642857
129400.,-76.34375,129400.,-82.34375,129400.,-76.34375,129400.,-79.4866071429
134300.,-80.875,134300.,-82.375,134300.,-79.375,134300.,-80.875
139200.,-79.40625,139200.,-80.90625,139200.,-76.40625,139200.,-78.6919642857
144100.,-80.9375,144100.,-80.9375,144100.,-72.9375,144100.,-78.0803571429
149000.,-74.9375,149000.,-80.4375,149000.,-75.9375,149000.,-77.4375
153900.,-80.96875,153900.,-82.46875,153900.,-74.96875,153900.,-78.46875
158800.,-78.,158800.,-82.5,158800.,-75.,158800.,-79.1428571429
163700.,-82.5,163700.,-82.5,163700.,-76.,163700.,-79.
168600.,-81.03125,168600.,-82.53125,168600.,-72.53125,168600.,-77.8169642857
173500.,-71.5625,173500.,-82.5625,173500.,-75.0625,173500.,-78.4196428571
178400.,-77.5625,178400.,-82.5625,178400.,-77.5625,178400.,-79.4196428571
183300.,-73.59375,183300.,-81.09375,183300.,-76.59375,183300.,-78.3080357143
188200.,-80.625,188200.,-82.625,188200.,-74.625,188200.,-79.4107142857
193100.,-77.625,193100.,-79.625,193100.,-76.125,193100.,-77.7678571429
198000.,-75.15625,198000.,-80.65625,198000.,-72.65625,198000.,-76.5133928571
202900.,-81.1875,202900.,-81.1875,202900.,-79.1875,202900.,-79.7589285714
207800.,-79.6875,207800.,-81.1875,207800.,-74.6875,207800.,-78.7589285714
212700.,-77.71875,212700.,-82.71875,212700.,-74.71875,212700.,-78.7901785714
217600.,-78.25,217600.,-82.75,217600.,-74.75,217600.,-79.1785714286
222500.,-78.25,222500.,-81.25,222500.,-73.25,222500.,-79.0357142857
227400.,-79.28125,227400.,-81.28125,227400.,-75.78125,227400.,-78.4955357143
232300.,-79.8125,232300.,-82.8125,232300.,-76.3125,232300.,-79.3839285714
237200.,-74.8125,237200.,-79.8125,237200.,-73.3125,237200.,-76.3839285714
242100.,-71.84375,242100.,-80.84375,242100.,-75.34375,242100.,-77.2723214286
247000.,-77.875,247000.,-79.375,247000.,-74.375,247000.,-76.2321428571
251900.,-73.90625,251900.,-81.40625,251900.,-70.90625,251900.,-74.6205357143
256800.,-74.90625,256800.,-82.90625,256800.,-73.90625,256800.,-77.3348214286
261700.,-75.9375,261700.,-81.4375,261700.,-76.4375,261700.,-78.4375
266600.,-73.46875,266600.,-79.96875,266600.,-68.46875,266600.,-75.3258928571
271500.,-75.96875,271500.,-82.96875,271500.,-69.96875,271500.,-75.6116071429
276400.,-81.,276400.,-81.5,276400.,-76.,276400.,-79.
281300.,-81.03125,281300.,-81.03125,281300.,-72.03125,281300.,-77.3169642857
286200.,-78.53125,286200.,-81.53125,286200.,-70.53125,286200.,-77.3169642857
291100.,-76.5625,291100.,-80.0625,291100.,-74.0625,291100.,-76.9910714286
296000.,-76.09375,296000.,-81.59375,296000.,-73.59375,296000.,-78.4508928571
300900.,-72.59375,300900.,-79.59375,300900.,-73.59375,300900.,-76.4508928571
305800.,-78.125,305800.,-79.625,305800.,-70.625,305800.,-76.3392857143
310700.,-83.15625,310700.,-83.15625,310700.,-72.15625,310700.,-77.5133928571
315600.,-74.15625,315600.,-83.15625,315600.,-73.65625,315600.,-77.65625
320500.,-75.6875,320500.,-83.1875,320500.,-75.1875,320500.,-78.8303571429
325400.,-77.71875,325400.,-81.71875,325400.,-76.71875,325400.,-78.9330357143
330300.,-75.71875,330300.,-81.71875,330300.,-75.21875,330300.,-77.6473214286
335200.,-76.75,335200.,-81.75,335200.,-73.75,335200.,-77.75
340100.,-76.78125,340100.,-80.28125,340100.,-72.78125,340100.,-76.4955357143
