1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-82.25,100000.,-82.25,100000.,-77.75,100000.,-80.25
104900.,-80.75,104900.,-82.25,104900.,-74.75,104900.,-79.85
109800.,-71.28125,109800.,-82.28125,109800.,-75.78125,109800.,-77.28125
114700.,-80.78125,114700.,-82.28125,114700.,-75.78125,114700.,-80.08125
119600.,-82.3125,119600.,-82.3125,119600.,-72.3125,119600.,-78.2125
124500.,-82.34375,124500.,-82.34375,124500.,-76.34375,124500.,-79.64375
129400.,-82.34375,129400.,-82.34375,129400.,-74.84375,129400.,-79.64375
134300.,-76.375,134300.,-82.375,134300.,-76.375,134300.,-78.775
139200.,-76.40625,139200.,-82.40625,139200.,-79.40625,139200.,-80.00625
144100.,-77.9375,144100.,-82.4375,144100.,-79.4375,144100.,-79.7375
149000.,-76.4375,149000.,-82.4375,149000.,-79.4375,149000.,-80.0375
153900.,-78.96875,153900.,-80.96875,153900.,-77.46875,153900.,-79.46875
158800.,-82.5,158800.,-82.5,158800.,-76.5,158800.,-78.2
163700.,-81.,163700.,-81.,163700.,-76.5,163700.,-79.2
168600.,-79.03125,168600.,-82.53125,168600.,-74.53125,168600.,-80.23125
173500.,-79.5625,173500.,-82.5625,173500.,-76.0625,173500.,-78.6625
178400.,-76.5625,178400.,-78.0625,178400.,-74.0625,178400.,-76.8625
183300.,-81.09375,183300.,-81.09375,183300.,-76.59375,183300.,-79.79375
188200.,-82.625,188200.,-82.625,188200.,-76.625,188200.,-79.125
193100.,-81.125,193100.,-82.625,193100.,-81.125,193100.,-82.025
198000.,-79.65625,198000.,-81.15625,198000.,-71.65625,198000.,-76.85625
202900.,-79.6875,202900.,-81.1875,202900.,-76.1875,202900.,-78.5875
207800.,-74.1875,207800.,-81.1875,207800.,-75.1875,207800.,-76.6875
212700.,-77.71875,212700.,-82.71875,212700.,-76.71875,212700.,-79.51875
217600.,-79.75,217600.,-79.75,217600.,-77.75,217600.,-79.05
222500.,-81.25,222500.,-81.25,222500.,-76.75,222500.,-79.25
227400.,-76.28125,227400.,-81.28125,227400.,-77.78125,227400.,-78.38125
232300.,-75.3125,232300.,-82.8125,232300.,-76.8125,232300.,-79.8125
237200.,-75.3125,237200.,-80.8125,237200.,-73.8125,237200.,-76.2125
242100.,-74.34375,242100.,-82.84375,242100.,-73.34375,242100.,-77.04375
247000.,-78.375,247000.,-81.375,247000.,-74.375,247000.,-77.775
251900.,-79.40625,251900.,-80.90625,251900.,-74.90625,251900.,-77.90625
256800.,-82.90625,256800.,-82.90625,256800.,-70.90625,256800.,-75.00625
261700.,-82.9375,261700.,-82.9375,261700.,-75.9375,261700.,-79.6375
266600.,-71.46875,266600.,-79.96875,266600.,-73.46875,266600.,-76.46875
271500.,-81.46875,271500.,-81.46875,271500.,-73.96875,271500.,-77.56875
276400.,-80.,276400.,-80.,276400.,-72.,276400.,-74.7
281300.,-77.53125,281300.,-78.53125,281300.,-75.03125,281300.,-77.03125
286200.,-78.03125,286200.,-78.53125,286200.,-74.03125,286200.,-76.83125
291100.,-83.0625,291100.,-83.0625,291100.,-76.5625,291100.,-79.0625
296000.,-73.09375,296000.,-79.59375,296000.,-76.59375,296000.,-76.59375
300900.,-75.09375,300900.,-81.09375,300900.,-74.09375,300900.,-76.49375
305800.,-80.125,305800.,-80.125,305800.,-76.625,305800.,-78.425
310700.,-77.15625,310700.,-81.65625,310700.,-73.65625,310700.,-77.85625
315600.,-76.65625,315600.,-80.15625,315600.,-72.65625,315600.,-77.15625
320500.,-75.1875,320500.,-81.1875,320500.,-75.1875,320500.,-77.3875
325400.,-77.21875,325400.,-80.21875,325400.,-72.71875,325400.,-77.11875
330300.,-74.71875,330300.,-83.21875,330300.,-77.21875,330300.,-78.51875
335200.,-81.75,335200.,-81.75,335200.,-72.75,335200.,-77.05
340100.,-78.28125,340100.,-80.28125,340100.,-75.78125,340100.,-78.48125
345000.,-78.3125,345000.,-80.3125,345000.,-74.3125,345000.,-78.0125
349900.,-77.3125,349900.,-77.3125,349900.,-75.3125,349900.,-76.5125
354800.,-75.84375,354800.,-80.34375,354800.,-76.34375,354800.,-77.34375
359700.,-73.875,359700.,-77.375,359700.,-70.875,359700.,-73.975
364600.,-74.875,364600.,-80.375,364600.,-76.375,364600.,-77.575
369500.,-70.90625,369500.,-81.90625,369500.,-73.90625,369500.,-75.30625
374400.,-79.9375,374400.,-79.9375,374400.,-72.9375,374400.,-75.7375
379300.,-79.9375,379300.,-81.9375,379300.,-73.9375,379300.,-78.5375
384200.,-80.46875,384200.,-81.96875,384200.,-71.46875,384200.,-78.26875
389100.,-83.5,389100.,-83.5,389100.,-72.5,389100.,-78.1
394000.,-83.5,394000.,-83.5,394000.,-77.,394000.,-80.6
398900.,-80.53125,398900.,-83.53125,398900.,-72.53125,398900.,-77.73125
403800.,-75.0625,403800.,-76.0625,403800.,-71.5625,403800.,-74.6625
408700.,-70.0625,408700.,-82.0625,408700.,-77.0625,408700.,-77.6625
413600.,-79.09375,413600.,-79.09375,413600.,-72.59375,413600.,-76.39375
418500.,-77.625,418500.,-82.125,418500.,-75.625,418500.,-79.125
423400.,-76.125,423400.,-83.625,423400.,-74.625,423400.,-78.125
428300.,-80.65625,428300.,-82.15625,428300.,-74.15625,428300.,-79.15625
433200.,-82.1875,433200.,-82.1875,433200.,-76.6875,433200.,-79.3875
438100.,-82.1875,438100.,-83.6875,438100.,-76.1875,438100.,-80.6875
443000.,-82.21875,443000.,-83.71875,443000.,-80.71875,443000.,-82.21875
447900.,-80.75,447900.,-80.75,447900.,-74.75,447900.,-78.75
452800.,-83.75,452800.,-83.75,452800.,-80.75,452800.,-82.75
457700.,-80.78125,457700.,-83.78125,457700.,-80.78125,457700.,-81.98125
462600.,-78.8125,462600.,-83.8125,462600.,-75.3125,462600.,-79.6125
467500.,-76.3125,467500.,-80.8125,467500.,-72.3125,467500.,-77.1125
472400.,-77.34375,472400.,-78.84375,472400.,-75.84375,472400.,-77.64375
477300.,-66.375,477300.,-66.375,477300.,-63.375,477300.,-64.375
482200.,-79.375,482200.,-82.375,482200.,-76.875,482200.,-78.975
487100.,-47.90625,487100.,-47.90625,487100.,-47.90625,487100.,-47.90625
492000.,-32.4375,492000.,-32.4375,492000.,-31.9375,492000.,-32.2375
496900.,-25.96875,496900.,-25.96875,496900.,-25.96875,496900.,-25.96875
501800.,-24.96875,501800.,-24.96875,501800.,-24.96875,501800.,-24.96875
506700.,-28.5,506700.,-28.5,506700.,-28.5,506700.,-28.5
511600.,-39.53125,511600.,-40.03125,511600.,-39.53125,511600.,-39.73125
516500.,-68.53125,516500.,-69.53125,516500.,-69.03125,516500.,-69.13125
521400.,-75.0625,521400.,-82.5625,521400.,-76.5625,521400.,-79.2625
526300.,-79.09375,526300.,-79.09375,526300.,-72.09375,526300.,-76.99375
531200.,-58.59375,531200.,-67.59375,531200.,-64.59375,531200.,-64.99375
536100.,-82.125,536100.,-82.625,536100.,-78.125,536100.,-81.525
541000.,-79.15625,541000.,-84.15625,541000.,-79.65625,541000.,-81.55625
545900.,-84.15625,545900.,-84.15625,545900.,-82.65625,545900.,-83.55625
550800.,-84.1875,550800.,-84.1875,550800.,-81.1875,550800.,-83.5875
555700.,-81.21875,555700.,-82.71875,555700.,-79.71875,555700.,-81.21875
560600.,-75.21875,560600.,-80.71875,560600.,-78.21875,560600.,-78.51875
565500.,-82.75,565500.,-82.75,565500.,-73.75,565500.,-78.75
570400.,-82.78125,570400.,-82.78125,570400.,-79.78125,570400.,-81.78125
575300.,-81.28125,575300.,-84.28125,575300.,-82.78125,575300.,-83.38125
580200.,-84.3125,580200.,-84.3125,580200.,-84.3125,580200.,-84.3125
585100.,-84.34375,585100.,-84.34375,585100.,-81.34375,585100.,-83.44375
590000.,-84.375,590000.,-84.375,590000.,-84.375,590000.,-84.375
594900.,-84.375,594900.,-84.375,594900.,-84.375,594900.,-84.375
599800.,-84.40625,599800.,-84.40625,599800.,-84.40625,599800.,-84.40625
604700.,-84.4375,604700.,-84.4375,604700.,-82.9375,604700.,-84.1375
609600.,-84.4375,609600.,-84.4375,609600.,-84.4375,609600.,-84.4375
614500.,-84.46875,614500.,-84.46875,614500.,-82.96875,614500.,-84.16875
619400.,-84.5,619400.,-84.5,619400.,-84.5,619400.,-84.5
624300.,-84.5,624300.,-84.5,624300.,-84.5,624300.,-84.5
629200.,-84.53125,629200.,-84.53125,629200.,-84.53125,629200.,-84.53125
634100.,-84.5625,634100.,-84.5625,634100.,-83.0625,634100.,-84.2625
