1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-75.75,100000.,-80.75,100000.,-74.25,100000.,-77.35
104900.,-76.25,104900.,-80.75,104900.,-74.75,104900.,-77.6
109800.,-80.78125,109800.,-82.28125,109800.,-73.78125,109800.,-78.13125
114700.,-79.28125,114700.,-82.28125,114700.,-75.28125,114700.,-79.68125
119600.,-82.3125,119600.,-82.3125,119600.,-73.3125,119600.,-79.8125
124500.,-78.84375,124500.,-82.34375,124500.,-74.34375,124500.,-78.09375
129400.,-80.84375,129400.,-82.34375,129400.,-71.84375,129400.,-79.19375
134300.,-76.375,134300.,-80.875,134300.,-71.375,134300.,-76.025
139200.,-80.40625,139200.,-82.40625,139200.,-72.90625,139200.,-78.50625
144100.,-80.9375,144100.,-82.4375,144100.,-73.9375,144100.,-78.3875
149000.,-80.9375,149000.,-82.4375,149000.,-68.4375,149000.,-77.6875
153900.,-77.46875,153900.,-80.96875,153900.,-76.46875,153900.,-79.46875
158800.,-82.5,158800.,-82.5,158800.,-74.,158800.,-78.6
163700.,-76.5,163700.,-82.5,163700.,-72.5,163700.,-78.45
168600.,-79.03125,168600.,-82.53125,168600.,-72.03125,168600.,-78.58125
173500.,-81.0625,173500.,-82.5625,173500.,-76.0625,173500.,-79.8125
178400.,-80.5625,178400.,-82.5625,178400.,-74.5625,178400.,-79.1125
183300.,-78.09375,183300.,-82.59375,183300.,-71.09375,183300.,-79.49375
188200.,-81.125,188200.,-82.625,188200.,-73.125,188200.,-79.375
193100.,-76.625,193100.,-82.625,193100.,-73.125,193100.,-78.125
198000.,-81.15625,198000.,-82.65625,198000.,-75.65625,198000.,-79.60625
202900.,-73.1875,202900.,-82.6875,202900.,-72.6875,202900.,-77.8375
207800.,-79.6875,207800.,-82.6875,207800.,-73.1875,207800.,-77.9875
212700.,-79.21875,212700.,-82.71875,212700.,-73.21875,212700.,-78.81875
217600.,-81.25,217600.,-82.75,217600.,-71.75,217600.,-79.2
222500.,-76.75,222500.,-82.75,222500.,-76.75,222500.,-79.5
227400.,-79.78125,227400.,-81.28125,227400.,-76.28125,227400.,-79.23125
232300.,-81.3125,232300.,-82.8125,232300.,-74.8125,232300.,-79.3125
237200.,-76.3125,237200.,-80.8125,237200.,-72.8125,237200.,-76.9625
242100.,-82.84375,242100.,-82.84375,242100.,-73.34375,242100.,-80.14375
247000.,-79.375,247000.,-82.875,247000.,-74.875,247000.,-78.625
251900.,-74.90625,251900.,-82.90625,251900.,-74.90625,251900.,-77.15625
256800.,-79.40625,256800.,-81.40625,256800.,-70.90625,256800.,-77.65625
261700.,-79.4375,261700.,-80.9375,261700.,-67.4375,261700.,-75.9375
266600.,-80.96875,266600.,-80.96875,266600.,-70.46875,266600.,-78.81875
271500.,-66.96875,271500.,-81.46875,271500.,-66.96875,271500.,-74.46875
276400.,-80.,276400.,-83.,276400.,-63.5,276400.,-74.15
281300.,-71.53125,281300.,-81.53125,281300.,-70.03125,281300.,-75.33125
286200.,-79.53125,286200.,-79.53125,286200.,-72.03125,286200.,-77.38125
291100.,-80.0625,291100.,-83.0625,291100.,-75.0625,291100.,-78.2625
296000.,-80.09375,296000.,-83.09375,296000.,-72.09375,296000.,-77.74375
300900.,-75.59375,300900.,-81.59375,300900.,-71.59375,300900.,-76.64375
305800.,-79.625,305800.,-83.125,305800.,-74.625,305800.,-79.025
310700.,-72.65625,310700.,-81.65625,310700.,-72.65625,310700.,-75.90625
315600.,-77.15625,315600.,-83.15625,315600.,-72.65625,315600.,-77.65625
320500.,-75.1875,320500.,-83.1875,320500.,-70.6875,320500.,-76.9375
325400.,-81.71875,325400.,-83.21875,325400.,-69.71875,325400.,-78.56875
330300.,-81.71875,330300.,-81.71875,330300.,-70.71875,330300.,-76.76875
335200.,-83.25,335200.,-83.25,335200.,-71.25,335200.,-79.75
340100.,-80.28125,340100.,-81.78125,340100.,-71.78125,340100.,-77.58125
345000.,-74.8125,345000.,-83.3125,345000.,-73.3125,345000.,-77.5125
349900.,-73.8125,349900.,-83.3125,349900.,-73.8125,349900.,-77.2125
354800.,-80.34375,354800.,-80.34375,354800.,-68.84375,354800.,-77.39375
359700.,-80.375,359700.,-81.375,359700.,-72.875,359700.,-78.425
364600.,-71.375,364600.,-79.875,364600.,-71.375,364600.,-75.225
369500.,-83.40625,369500.,-83.40625,369500.,-73.40625,369500.,-79.65625
374400.,-76.9375,374400.,-81.9375,374400.,-72.9375,374400.,-76.6875
379300.,-76.9375,379300.,-81.4375,379300.,-73.4375,379300.,-75.9875
384200.,-61.96875,384200.,-81.96875,384200.,-61.96875,384200.,-70.41875
389100.,-60.,389100.,-77.,389100.,-54.,389100.,-57.35
394000.,-70.,394000.,-70.,394000.,-53.,394000.,-61.05
398900.,-67.53125,398900.,-78.53125,398900.,-52.03125,398900.,-62.63125
403800.,-64.0625,403800.,-72.0625,403800.,-51.0625,403800.,-57.5125
408700.,-75.0625,408700.,-79.0625,408700.,-53.5625,408700.,-71.7625
413600.,-80.09375,413600.,-82.09375,413600.,-74.09375,413600.,-78.94375
418500.,-77.625,418500.,-83.625,418500.,-70.625,418500.,-78.525
423400.,-73.125,423400.,-83.625,423400.,-73.125,423400.,-76.575
428300.,-79.15625,428300.,-83.65625,428300.,-76.15625,428300.,-79.50625
433200.,-82.1875,433200.,-83.6875,433200.,-74.6875,433200.,-79.3375
438100.,-77.1875,438100.,-83.6875,438100.,-77.1875,438100.,-81.3375
443000.,-80.71875,443000.,-83.71875,443000.,-76.21875,443000.,-80.16875
447900.,-78.75,447900.,-83.75,447900.,-76.75,447900.,-80.95
452800.,-79.25,452800.,-83.75,452800.,-74.25,452800.,-80.4
457700.,-79.28125,457700.,-83.78125,457700.,-78.78125,457700.,-80.58125
462600.,-80.8125,462600.,-83.8125,462600.,-74.3125,462600.,-81.5625
467500.,-74.8125,467500.,-83.8125,467500.,-74.8125,467500.,-78.8125
472400.,-80.34375,472400.,-83.84375,472400.,-72.84375,472400.,-79.54375
477300.,-78.875,477300.,-82.375,477300.,-64.375,477300.,-72.625
482200.,-80.875,482200.,-83.875,482200.,-78.875,482200.,-80.525
487100.,-48.90625,487100.,-60.40625,487100.,-48.90625,487100.,-54.85625
492000.,-32.9375,492000.,-43.9375,492000.,-32.9375,492000.,-38.6875
496900.,-26.46875,496900.,-36.96875,496900.,-26.46875,496900.,-31.91875
501800.,-25.46875,501800.,-35.96875,501800.,-25.46875,501800.,-30.96875
506700.,-29.,506700.,-40.,506700.,-29.,506700.,-34.8
511600.,-40.53125,511600.,-51.53125,511600.,-40.53125,511600.,-46.08125
516500.,-69.53125,516500.,-76.03125,516500.,-66.03125,516500.,-70.68125
521400.,-79.5625,521400.,-84.0625,521400.,-61.0625,521400.,-78.4125
526300.,-73.09375,526300.,-84.09375,526300.,-61.09375,526300.,-76.99375
531200.,-70.59375,531200.,-79.59375,531200.,-51.09375,531200.,-68.64375
536100.,-82.625,536100.,-84.125,536100.,-52.625,536100.,-74.875
541000.,-80.65625,541000.,-84.15625,541000.,-63.65625,541000.,-81.55625
545900.,-82.65625,545900.,-84.15625,545900.,-54.15625,545900.,-73.50625
550800.,-84.1875,550800.,-84.1875,550800.,-56.6875,550800.,-79.0875
555700.,-64.71875,555700.,-84.21875,555700.,-62.21875,555700.,-79.86875
560600.,-70.21875,560600.,-84.21875,560600.,-57.71875,560600.,-76.16875
565500.,-84.25,565500.,-84.25,565500.,-75.75,565500.,-82.9
570400.,-84.28125,570400.,-84.28125,570400.,-80.78125,570400.,-82.98125
575300.,-84.28125,575300.,-84.28125,575300.,-81.28125,575300.,-83.83125
580200.,-84.3125,580200.,-84.3125,580200.,-82.8125,580200.,-84.0125
585100.,-84.34375,585100.,-84.34375,585100.,-81.34375,585100.,-83.74375
590000.,-84.375,590000.,-85.875,590000.,-82.375,590000.,-84.325
594900.,-84.375,594900.,-84.375,594900.,-81.375,594900.,-84.075
599800.,-84.40625,599800.,-84.40625,599800.,-82.40625,599800.,-84.20625
604700.,-84.4375,604700.,-84.4375,604700.,-80.9375,604700.,-83.5875
609600.,-84.4375,609600.,-84.4375,609600.,-82.9375,609600.,-84.2875
614500.,-84.46875,614500.,-84.46875,614500.,-81.46875,614500.,-84.16875
