1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
100000.,-75.75,100000.,-77.25,100000.,-76.25,100000.,-76.4166666667
104900.,-80.75,104900.,-82.25,104900.,-73.75,104900.,-78.9166666667
109800.,-80.78125,109800.,-80.78125,109800.,-73.28125,109800.,-77.78125
114700.,-79.28125,114700.,-82.28125,114700.,-78.78125,114700.,-80.1145833333
119600.,-75.8125,119600.,-80.8125,119600.,-79.3125,119600.,-78.6458333333
124500.,-78.84375,124500.,-82.34375,124500.,-77.34375,124500.,-79.5104166667
129400.,-80.84375,129400.,-82.34375,129400.,-74.84375,129400.,-79.34375
134300.,-77.375,134300.,-80.875,134300.,-77.375,134300.,-78.5416666667
139200.,-74.40625,139200.,-77.90625,139200.,-77.90625,139200.,-76.7395833333
144100.,-80.4375,144100.,-80.4375,144100.,-77.9375,144100.,-79.2708333333
149000.,-78.9375,149000.,-80.4375,149000.,-78.9375,149000.,-79.4375
153900.,-77.46875,153900.,-77.46875,153900.,-74.96875,153900.,-75.8020833333
158800.,-79.5,158800.,-80.5,158800.,-79.5,158800.,-79.8333333333
163700.,-82.5,163700.,-82.5,163700.,-78.,163700.,-80.
168600.,-81.03125,168600.,-81.03125,168600.,-76.53125,168600.,-79.03125
173500.,-78.0625,173500.,-82.5625,173500.,-79.5625,173500.,-80.0625
178400.,-80.5625,178400.,-80.5625,178400.,-75.0625,178400.,-77.3958333333
183300.,-79.59375,183300.,-81.09375,183300.,-81.09375,183300.,-80.59375
188200.,-75.625,188200.,-76.625,188200.,-75.125,188200.,-75.7916666667
193100.,-79.625,193100.,-81.125,193100.,-79.625,193100.,-80.125
198000.,-82.65625,198000.,-82.65625,198000.,-79.65625,198000.,-81.65625
202900.,-81.1875,202900.,-81.1875,202900.,-79.1875,202900.,-80.5208333333
207800.,-79.6875,207800.,-82.6875,207800.,-78.1875,207800.,-80.1875
212700.,-77.71875,212700.,-79.21875,212700.,-74.21875,212700.,-77.0520833333
217600.,-80.75,217600.,-81.25,217600.,-78.25,217600.,-80.0833333333
222500.,-75.25,222500.,-81.25,222500.,-79.25,222500.,-78.5833333333
227400.,-76.28125,227400.,-77.78125,227400.,-71.78125,227400.,-75.28125
232300.,-82.8125,232300.,-82.8125,232300.,-73.3125,232300.,-77.9791666667
237200.,-78.3125,237200.,-80.8125,237200.,-79.8125,237200.,-79.6458333333
242100.,-76.84375,242100.,-79.84375,242100.,-77.84375,242100.,-78.1770833333
247000.,-76.875,247000.,-76.875,247000.,-69.375,247000.,-73.375
251900.,-79.40625,251900.,-81.40625,251900.,-80.90625,251900.,-80.5729166667
256800.,-76.40625,256800.,-81.40625,256800.,-72.40625,256800.,-76.7395833333
261700.,-78.4375,261700.,-80.9375,261700.,-79.4375,261700.,-79.6041666667
266600.,-79.96875,266600.,-79.96875,266600.,-75.46875,266600.,-78.3020833333
271500.,-76.46875,271500.,-81.46875,271500.,-80.96875,271500.,-79.6354166667
276400.,-75.5,276400.,-79.5,276400.,-78.5,276400.,-77.8333333333
281300.,-78.53125,281300.,-78.53125,281300.,-76.53125,281300.,-77.3645833333
286200.,-72.53125,286200.,-80.03125,286200.,-78.53125,286200.,-77.03125
291100.,-78.5625,291100.,-78.5625,291100.,-77.0625,291100.,-78.0625
296000.,-74.59375,296000.,-76.59375,296000.,-75.59375,296000.,-75.59375
300900.,-71.59375,300900.,-81.59375,300900.,-75.09375,300900.,-76.09375
305800.,-76.625,305800.,-81.125,305800.,-72.125,305800.,-76.625
310700.,-78.15625,310700.,-80.15625,310700.,-71.65625,310700.,-76.65625
315600.,-72.15625,315600.,-80.15625,315600.,-77.15625,315600.,-76.4895833333
320500.,-81.6875,320500.,-81.6875,320500.,-75.6875,320500.,-78.5208333333
325400.,-75.21875,325400.,-76.71875,325400.,-75.21875,325400.,-75.71875
330300.,-76.71875,330300.,-78.21875,330300.,-77.21875,330300.,-77.3854166667
335200.,-70.25,335200.,-77.25,335200.,-75.75,335200.,-74.4166666667
340100.,-81.78125,340100.,-81.78125,340100.,-74.28125,340100.,-78.1145833333
345000.,-78.3125,345000.,-81.8125,345000.,-73.3125,345000.,-77.8125
349900.,-76.8125,349900.,-80.3125,349900.,-74.8125,349900.,-77.3125
354800.,-77.34375,354800.,-77.34375,354800.,-76.34375,354800.,-77.0104166667
359700.,-73.875,359700.,-78.875,359700.,-75.375,359700.,-76.0416666667
364600.,-74.375,364600.,-75.875,364600.,-75.375,364600.,-75.2083333333
369500.,-81.90625,369500.,-81.90625,369500.,-79.90625,369500.,-81.2395833333
374400.,-78.4375,374400.,-79.9375,374400.,-73.9375,374400.,-77.4375
379300.,-75.4375,379300.,-79.9375,379300.,-78.9375,379300.,-78.1041666667
384200.,-74.96875,384200.,-79.96875,384200.,-78.96875,384200.,-77.96875
389100.,-82.,389100.,-82.,389100.,-77.5,389100.,-79.3333333333
394000.,-80.5,394000.,-81.5,394000.,-78.5,394000.,-80.1666666667
398900.,-78.53125,398900.,-82.03125,398900.,-69.53125,398900.,-76.6979166667
403800.,-77.5625,403800.,-83.5625,403800.,-74.0625,403800.,-78.3958333333
408700.,-75.0625,408700.,-82.0625,408700.,-76.0625,408700.,-77.7291666667
413600.,-82.09375,413600.,-82.09375,413600.,-76.59375,413600.,-79.7604166667
418500.,-74.625,418500.,-80.125,418500.,-72.625,418500.,-75.7916666667
423400.,-80.125,423400.,-80.125,423400.,-76.125,423400.,-77.9583333333
428300.,-82.15625,428300.,-82.15625,428300.,-76.65625,428300.,-80.3229166667
433200.,-74.1875,433200.,-82.1875,433200.,-75.1875,433200.,-77.1875
438100.,-81.6875,438100.,-83.6875,438100.,-81.6875,438100.,-82.3541666667
443000.,-83.71875,443000.,-80.71875,443000.,-77.71875,443000.,-78.71875
447900.,-80.75,447900.,-83.75,447900.,-80.75,447900.,-81.75
452800.,-77.25,452800.,-79.25,452800.,-79.25,452800.,-79.25
457700.,-80.78125,457700.,-83.78125,457700.,-82.28125,457700.,-83.28125
462600.,-77.8125,462600.,-78.8125,462600.,-78.8125,462600.,-78.8125
467500.,-79.3125,467500.,-72.8125,467500.,-71.8125,467500.,-72.4791666667
472400.,-77.84375,472400.,-80.34375,472400.,-70.34375,472400.,-73.6770833333
477300.,-74.875,477300.,-61.375,477300.,-60.875,477300.,-61.2083333333
482200.,-78.875,482200.,-80.375,482200.,-74.875,482200.,-78.5416666667
487100.,-46.40625,487100.,-46.40625,487100.,-45.90625,487100.,-46.2395833333
492000.,-30.4375,492000.,-30.4375,492000.,-29.9375,492000.,-30.2708333333
496900.,-24.46875,496900.,-24.46875,496900.,-23.96875,496900.,-24.3020833333
501800.,-23.46875,501800.,-23.46875,501800.,-22.46875,501800.,-23.1354166667
506700.,-27.,506700.,-27.,506700.,-26.5,506700.,-26.8333333333
511600.,-38.03125,511600.,-38.03125,511600.,-37.53125,511600.,-37.8645833333
516500.,-66.53125,516500.,-67.03125,516500.,-66.03125,516500.,-66.6979166667
521400.,-81.0625,521400.,-82.5625,521400.,-78.0625,521400.,-79.5625
526300.,-73.59375,526300.,-75.09375,526300.,-74.59375,526300.,-74.9270833333
531200.,-64.09375,531200.,-63.59375,531200.,-63.09375,531200.,-63.2604166667
536100.,-77.625,536100.,-78.125,536100.,-76.625,536100.,-77.125
541000.,-82.65625,541000.,-84.15625,541000.,-82.65625,541000.,-83.15625
545900.,-82.65625,545900.,-82.65625,545900.,-81.15625,545900.,-81.65625
550800.,-84.1875,550800.,-84.1875,550800.,-81.1875,550800.,-82.1875
555700.,-84.21875,555700.,-84.21875,555700.,-82.71875,555700.,-83.21875
560600.,-82.71875,560600.,-84.21875,560600.,-82.71875,560600.,-83.21875
565500.,-81.25,565500.,-84.25,565500.,-81.25,565500.,-82.25
570400.,-84.28125,570400.,-84.28125,570400.,-84.28125,570400.,-84.28125
575300.,-84.28125,575300.,-84.28125,575300.,-84.28125,575300.,-84.28125
580200.,-81.3125,580200.,-84.3125,580200.,-81.3125,580200.,-82.3125
585100.,-84.34375,585100.,-84.34375,585100.,-84.34375,585100.,-84.34375
590000.,-84.375,590000.,-84.375,590000.,-81.375,590000.,-83.375
594900.,-84.375,594900.,-84.375,594900.,-84.375,594900.,-84.375
599800.,-84.40625,599800.,-84.40625,599800.,-84.40625,599800.,-84.40625
604700.,-84.4375,604700.,-84.4375,604700.,-84.4375,604700.,-84.4375
609600.,-84.4375,609600.,-84.4375,609600.,-84.4375,609600.,-84.4375
614500.,-84.46875,614500.,-84.46875,614500.,-84.46875,614500.,-84.46875
619400.,-84.5,619400.,-84.5,619400.,-84.5,619400.,-84.5
624300.,-84.5,624300.,-84.5,624300.,-84.5,624300.,-84.5
629200.,-84.53125,629200.,-84.53125,629200.,-84.53125,629200.,-84.53125
634100.,-84.5625,634100.,-84.5625,634100.,-84.5625,634100.,-84.5625
639000.,-84.5625,639000.,-84.5625,639000.,-84.5625,639000.,-84.5625
643900.,-84.59375,643900.,-84.59375,643900.,-84.59375,643900.,-84.59375
648800.,-84.625,648800.,-84.625,648800.,-84.625,648800.,-84.625
653700.,-84.625,653700.,-84.625,653700.,-84.625,653700.,-84.625
658600.,-84.65625,658600.,-84.65625,658600.,-84.65625,658600.,-84.65625
663500.,-84.6875,663500.,-84.6875,663500.,-84.6875,663500.,-84.6875
668400.,-84.6875,668400.,-84.6875,668400.,-84.6875,668400.,-84.6875
673300.,-84.71875,673300.,-84.71875,673300.,-84.71875,673300.,-84.71875
678200.,-84.75,678200.,-84.75,678200.,-84.75,678200.,-84.75
